,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,1,0.5,100.0,0.5093
2,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,4,0.4465,100.0,0.5363
3,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,8,0.3828,100.0,0.5706
4,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,12,0.3257,100.0,0.6034
5,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,16,0.2738,100.0,0.635
6,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,20,0.2264,100.0,0.6655
7,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,24,0.1832,100.0,0.695
8,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,28,0.144,100.0,0.7234
9,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,1,32,0.1088,100.0,0.7507
10,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,1,0.5,100.0,0.5054
11,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,4,0.4684,100.0,0.5213
12,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,8,0.4288,100.0,0.5421
13,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,12,0.3913,100.0,0.5625
14,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,16,0.3554,100.0,0.5829
15,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,20,0.3207,100.0,0.6033
16,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,24,0.2874,100.0,0.6237
17,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,28,0.2552,100.0,0.6441
18,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,2,32,0.2243,100.0,0.6644
19,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,1,0.5,100.0,0.5074
20,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,4,0.4575,100.0,0.5287
21,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,8,0.4068,100.0,0.5555
22,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,12,0.3621,100.0,0.5803
23,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,16,0.3225,100.0,0.6032
24,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,20,0.2876,100.0,0.6243
25,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,24,0.2567,100.0,0.6436
26,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,28,0.2293,100.0,0.6614
27,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,3,32,0.205,100.0,0.6776
28,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,1,0.5,100.0,0.5078
29,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,4,0.4554,100.0,0.5302
30,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,8,0.4026,100.0,0.5582
31,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,12,0.3568,100.0,0.5838
32,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,16,0.3168,100.0,0.6071
33,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,20,0.2819,100.0,0.6284
34,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,24,0.2515,100.0,0.6477
35,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,28,0.2248,100.0,0.6652
36,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,4,32,0.2015,100.0,0.6811
37,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,1,0.5,100.0,0.5058
38,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,4,0.4662,100.0,0.5228
39,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,8,0.425,100.0,0.5445
40,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,12,0.3873,100.0,0.5651
41,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,16,0.3529,100.0,0.5848
42,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,20,0.3213,100.0,0.6035
43,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,24,0.2923,100.0,0.6212
44,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,28,0.2658,100.0,0.6379
45,alcove,,humble,abstract,0.002,0.015,6.0,2.0,0,5,32,0.2416,100.0,0.6536
