,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,1,1,0.6931,100.0,0.5047
2,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,1,4,0.6793,100.0,0.5185
3,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,1,8,0.6614,100.0,0.5368
4,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,1,12,0.6439,100.0,0.5549
5,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,1,16,0.6267,100.0,0.5729
6,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,2,1,0.6931,100.0,0.5027
7,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,2,4,0.6851,100.0,0.5108
8,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,2,8,0.6745,100.0,0.5215
9,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,2,12,0.6641,100.0,0.5322
10,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,2,16,0.6537,100.0,0.5429
11,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,3,1,0.6931,100.0,0.5037
12,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,3,4,0.6822,100.0,0.5146
13,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,3,8,0.668,100.0,0.529
14,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,3,12,0.6543,100.0,0.5431
15,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,3,16,0.641,100.0,0.5569
16,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,4,1,0.6931,100.0,0.5039
17,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,4,4,0.6816,100.0,0.5154
18,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,4,8,0.6667,100.0,0.5306
19,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,4,12,0.6523,100.0,0.5454
20,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,4,16,0.6384,100.0,0.5598
21,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,5,1,0.6931,100.0,0.5029
22,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,5,4,0.6845,100.0,0.5116
23,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,5,8,0.6732,100.0,0.523
24,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,5,12,0.6622,100.0,0.5343
25,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,5,16,0.6514,100.0,0.5455
26,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,6,1,0.6931,100.0,0.5016
27,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,6,4,0.6885,100.0,0.5063
28,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,6,8,0.6823,100.0,0.5125
29,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,6,12,0.6761,100.0,0.5187
30,alcove,,ll,abstract,0.002,0.015,6.0,2.0,0,6,16,0.67,100.0,0.525
1,alcove,,ll,abstract,0.002,0.015,6.0,2.5,0,1,1,0.6931,100.0,0.5058
