,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,1,0.0625,50.0,0.5012
2,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,4,0.0602,50.0,0.5046
3,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,8,0.0572,50.0,0.5092
4,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,12,0.0544,50.0,0.5136
5,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,16,0.0517,50.0,0.518
6,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,20,0.0491,50.0,0.5222
7,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,24,0.0467,50.0,0.5264
8,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,28,0.0444,50.0,0.5304
9,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,32,0.0422,50.0,0.5344
10,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,36,0.0402,50.0,0.5383
11,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,40,0.0382,50.0,0.5421
12,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,44,0.0363,50.0,0.5458
13,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,48,0.0345,50.0,0.5494
14,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,52,0.0328,50.0,0.5529
15,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,56,0.0311,50.0,0.5564
16,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,60,0.0296,50.0,0.5597
17,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,64,0.0281,50.0,0.563
18,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,68,0.0267,50.0,0.5662
19,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,72,0.0253,50.0,0.5693
20,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,76,0.024,50.0,0.5723
21,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,80,0.0228,50.0,0.5753
22,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,84,0.0216,50.0,0.5782
23,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,88,0.0205,50.0,0.5811
24,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,92,0.0194,50.0,0.5838
25,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,96,0.0184,50.0,0.5865
26,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,100,0.0174,50.0,0.5892
27,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,104,0.0165,50.0,0.5917
28,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,108,0.0156,50.0,0.5943
29,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,112,0.0148,50.0,0.5967
30,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,116,0.014,50.0,0.5991
31,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,120,0.0132,50.0,0.6015
32,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,124,0.0125,50.0,0.6038
33,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,1,128,0.0118,50.0,0.606
34,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,1,0.0625,50.0,0.5007
35,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,4,0.0605,50.0,0.5027
36,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,8,0.058,50.0,0.5053
37,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,12,0.0556,50.0,0.508
38,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,16,0.0533,50.0,0.5106
39,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,20,0.0512,50.0,0.5131
40,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,24,0.0491,50.0,0.5156
41,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,28,0.0472,50.0,0.518
42,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,32,0.0453,50.0,0.5205
43,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,36,0.0436,50.0,0.5228
44,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,40,0.0419,50.0,0.5252
45,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,44,0.0403,50.0,0.5274
46,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,48,0.0388,50.0,0.5297
47,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,52,0.0373,50.0,0.5319
48,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,56,0.0359,50.0,0.534
49,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,60,0.0346,50.0,0.5361
50,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,64,0.0333,50.0,0.5382
51,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,68,0.0321,50.0,0.5402
52,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,72,0.0309,50.0,0.5422
53,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,76,0.0298,50.0,0.5441
54,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,80,0.0288,50.0,0.5461
55,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,84,0.0278,50.0,0.5479
56,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,88,0.0268,50.0,0.5498
57,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,92,0.0259,50.0,0.5516
58,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,96,0.025,50.0,0.5534
59,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,100,0.0241,50.0,0.5552
60,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,104,0.0233,50.0,0.5569
61,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,108,0.0225,50.0,0.5586
62,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,112,0.0218,50.0,0.5603
63,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,116,0.0211,50.0,0.5619
64,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,120,0.0204,50.0,0.5636
65,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,124,0.0197,50.0,0.5652
66,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,2,128,0.0191,50.0,0.5668
67,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,1,0.0625,50.0,0.5009
68,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,4,0.0603,50.0,0.5037
69,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,8,0.0576,50.0,0.5073
70,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,12,0.055,50.0,0.5108
71,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,16,0.0525,50.0,0.5142
72,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,20,0.0502,50.0,0.5176
73,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,24,0.0479,50.0,0.5209
74,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,28,0.0458,50.0,0.5242
75,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,32,0.0438,50.0,0.5273
76,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,36,0.0419,50.0,0.5304
77,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,40,0.0401,50.0,0.5334
78,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,44,0.0383,50.0,0.5363
79,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,48,0.0367,50.0,0.5392
80,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,52,0.0351,50.0,0.5419
81,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,56,0.0336,50.0,0.5446
82,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,60,0.0322,50.0,0.5472
83,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,64,0.0309,50.0,0.5498
84,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,68,0.0296,50.0,0.5523
85,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,72,0.0283,50.0,0.5547
86,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,76,0.0272,50.0,0.557
87,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,80,0.0261,50.0,0.5593
88,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,84,0.025,50.0,0.5615
89,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,88,0.024,50.0,0.5636
90,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,92,0.023,50.0,0.5657
91,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,96,0.0221,50.0,0.5677
92,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,100,0.0213,50.0,0.5697
93,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,104,0.0204,50.0,0.5716
94,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,108,0.0196,50.0,0.5735
95,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,112,0.0189,50.0,0.5753
96,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,116,0.0182,50.0,0.5771
97,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,120,0.0175,50.0,0.5788
98,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,124,0.0168,50.0,0.5804
99,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,3,128,0.0162,50.0,0.5821
100,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,1,0.0625,50.0,0.501
101,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,4,0.0603,50.0,0.5039
102,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,8,0.0575,50.0,0.5076
103,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,12,0.0549,50.0,0.5114
104,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,16,0.0524,50.0,0.515
105,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,20,0.05,50.0,0.5185
106,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,24,0.0477,50.0,0.522
107,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,28,0.0456,50.0,0.5254
108,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,32,0.0435,50.0,0.5287
109,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,36,0.0416,50.0,0.5319
110,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,40,0.0397,50.0,0.535
111,alcove,,mse,abstract,0.002,0.015,6.0,2.0,0,4,44,0.038,50.0,0.538
