,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,1,1.1174,50.0,0.4598
2,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,4,1.0229,50.0,0.5034
3,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,8,0.9039,87.5,0.5624
4,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,12,0.7741,100.0,0.6282
5,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,16,0.6115,100.0,0.7051
6,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,20,0.3916,100.0,0.7908
7,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,24,0.1233,100.0,0.8669
8,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,28,0.0015,100.0,0.8956
9,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,32,0.0,100.0,0.8988
10,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,36,0.0,100.0,0.8988
11,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,40,0.0,100.0,0.8988
12,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,44,0.0,100.0,0.8988
13,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,48,0.0,100.0,0.8988
14,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,52,0.0,100.0,0.8988
15,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,56,0.0,100.0,0.8988
16,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,60,0.0,100.0,0.8988
17,mlp,,hinge,abstract,0.002,0.015,,2.0,0,1,64,0.0,100.0,0.8988
18,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,1,1.004,50.0,0.4982
19,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,4,1.0036,50.0,0.4984
20,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,8,1.003,50.0,0.4986
21,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,12,1.0025,50.0,0.4989
22,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,16,1.002,50.0,0.4991
23,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,20,1.0015,50.0,0.4993
24,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,24,1.001,50.0,0.4996
25,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,28,1.0005,50.0,0.4998
26,mlp,,hinge,abstract,0.002,0.015,,2.0,0,2,32,1.0,50.0,0.5
