,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,humble,abstract,0.002,0.015,,2.0,0,1,1,0.4783,75.0,0.5316
2,mlp,,humble,abstract,0.002,0.015,,2.0,0,1,4,0.4034,75.0,0.568
3,mlp,,humble,abstract,0.002,0.015,,2.0,0,1,8,0.3305,87.5,0.6103
4,mlp,,humble,abstract,0.002,0.015,,2.0,0,1,12,0.2664,87.5,0.6503
5,mlp,,humble,abstract,0.002,0.015,,2.0,0,1,16,0.2081,100.0,0.689
6,mlp,,humble,abstract,0.002,0.015,,2.0,0,2,1,0.4951,50.0,0.5062
7,mlp,,humble,abstract,0.002,0.015,,2.0,0,2,4,0.4936,50.0,0.5067
8,mlp,,humble,abstract,0.002,0.015,,2.0,0,2,8,0.492,50.0,0.5072
9,mlp,,humble,abstract,0.002,0.015,,2.0,0,2,12,0.4905,50.0,0.5078
10,mlp,,humble,abstract,0.002,0.015,,2.0,0,2,16,0.489,50.0,0.5084
11,mlp,,humble,abstract,0.002,0.015,,2.0,0,3,1,0.6353,50.0,0.5092
12,mlp,,humble,abstract,0.002,0.015,,2.0,0,3,4,0.4538,75.0,0.5363
13,mlp,,humble,abstract,0.002,0.015,,2.0,0,3,8,0.4026,62.5,0.5612
14,mlp,,humble,abstract,0.002,0.015,,2.0,0,3,12,0.3712,75.0,0.5814
15,mlp,,humble,abstract,0.002,0.015,,2.0,0,3,16,0.3458,75.0,0.599
16,mlp,,humble,abstract,0.002,0.015,,2.0,0,4,1,0.5094,50.0,0.5055
17,mlp,,humble,abstract,0.002,0.015,,2.0,0,4,4,0.4571,62.5,0.5314
18,mlp,,humble,abstract,0.002,0.015,,2.0,0,4,8,0.3977,87.5,0.5644
19,mlp,,humble,abstract,0.002,0.015,,2.0,0,4,12,0.3436,87.5,0.5968
20,mlp,,humble,abstract,0.002,0.015,,2.0,0,4,16,0.2943,100.0,0.6279
21,mlp,,humble,abstract,0.002,0.015,,2.0,0,5,1,0.6509,50.0,0.4894
22,mlp,,humble,abstract,0.002,0.015,,2.0,0,5,4,0.5093,50.0,0.5003
23,mlp,,humble,abstract,0.002,0.015,,2.0,0,5,8,0.4892,50.0,0.5074
24,mlp,,humble,abstract,0.002,0.015,,2.0,0,5,12,0.4807,50.0,0.5122
25,mlp,,humble,abstract,0.002,0.015,,2.0,0,5,16,0.4733,50.0,0.5165
26,mlp,,humble,abstract,0.002,0.015,,2.0,0,6,1,0.6667,62.5,0.501
27,mlp,,humble,abstract,0.002,0.015,,2.0,0,6,4,0.5131,50.0,0.5011
28,mlp,,humble,abstract,0.002,0.015,,2.0,0,6,8,0.5041,50.0,0.5012
29,mlp,,humble,abstract,0.002,0.015,,2.0,0,6,12,0.503,37.5,0.5012
30,mlp,,humble,abstract,0.002,0.015,,2.0,0,6,16,0.5022,37.5,0.5012
1,mlp,,humble,abstract,0.002,0.015,,2.5,0,1,1,0.5954,50.0,0.529
2,mlp,,humble,abstract,0.002,0.015,,2.5,0,1,4,0.4044,75.0,0.5825
3,mlp,,humble,abstract,0.002,0.015,,2.5,0,1,8,0.3263,87.5,0.6337
4,mlp,,humble,abstract,0.002,0.015,,2.5,0,1,12,0.2616,100.0,0.6818
5,mlp,,humble,abstract,0.002,0.015,,2.5,0,1,16,0.2008,100.0,0.7287
6,mlp,,humble,abstract,0.002,0.015,,2.5,0,2,1,0.5222,50.0,0.4991
7,mlp,,humble,abstract,0.002,0.015,,2.5,0,2,4,0.5138,50.0,0.5009
8,mlp,,humble,abstract,0.002,0.015,,2.5,0,2,8,0.508,50.0,0.5021
9,mlp,,humble,abstract,0.002,0.015,,2.5,0,2,12,0.5038,50.0,0.5029
10,mlp,,humble,abstract,0.002,0.015,,2.5,0,2,16,0.5004,50.0,0.5036
11,mlp,,humble,abstract,0.002,0.015,,2.5,0,3,1,0.5173,50.0,0.5168
12,mlp,,humble,abstract,0.002,0.015,,2.5,0,3,4,0.4744,75.0,0.5261
13,mlp,,humble,abstract,0.002,0.015,,2.5,0,3,8,0.4479,75.0,0.5422
14,mlp,,humble,abstract,0.002,0.015,,2.5,0,3,12,0.4234,87.5,0.5595
15,mlp,,humble,abstract,0.002,0.015,,2.5,0,3,16,0.3991,87.5,0.5772
16,mlp,,humble,abstract,0.002,0.015,,2.5,0,4,1,0.5986,25.0,0.4626
17,mlp,,humble,abstract,0.002,0.015,,2.5,0,4,4,0.5398,50.0,0.4897
18,mlp,,humble,abstract,0.002,0.015,,2.5,0,4,8,0.4926,62.5,0.5179
19,mlp,,humble,abstract,0.002,0.015,,2.5,0,4,12,0.4508,75.0,0.5444
20,mlp,,humble,abstract,0.002,0.015,,2.5,0,4,16,0.4107,75.0,0.5713
21,mlp,,humble,abstract,0.002,0.015,,2.5,0,5,1,0.8268,50.0,0.4738
22,mlp,,humble,abstract,0.002,0.015,,2.5,0,5,4,0.5635,50.0,0.488
23,mlp,,humble,abstract,0.002,0.015,,2.5,0,5,8,0.5036,50.0,0.506
24,mlp,,humble,abstract,0.002,0.015,,2.5,0,5,12,0.4811,62.5,0.5191
25,mlp,,humble,abstract,0.002,0.015,,2.5,0,5,16,0.4651,87.5,0.5298
26,mlp,,humble,abstract,0.002,0.015,,2.5,0,6,1,0.5797,50.0,0.4975
27,mlp,,humble,abstract,0.002,0.015,,2.5,0,6,4,0.5233,62.5,0.4977
28,mlp,,humble,abstract,0.002,0.015,,2.5,0,6,8,0.5099,37.5,0.4981
29,mlp,,humble,abstract,0.002,0.015,,2.5,0,6,12,0.5071,37.5,0.4983
30,mlp,,humble,abstract,0.002,0.015,,2.5,0,6,16,0.5058,50.0,0.4985
1,mlp,,humble,abstract,0.004,0.015,,2.0,0,1,1,0.3669,100.0,0.5877
