,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,1,0.7428,37.5,0.4699
2,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,4,0.7195,50.0,0.4852
3,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,8,0.696,50.0,0.5045
4,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,12,0.6769,62.5,0.5225
5,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,16,0.6597,62.5,0.5398
6,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,20,0.643,75.0,0.5572
7,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,24,0.626,75.0,0.5751
8,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,28,0.6081,75.0,0.5942
9,mlp,,ll,abstract,0.002,0.015,,2.0,0,1,32,0.5888,87.5,0.6147
10,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,1,0.6949,37.5,0.5007
11,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,4,0.6942,37.5,0.5012
12,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,8,0.6935,37.5,0.5018
13,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,12,0.6927,37.5,0.5024
14,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,16,0.692,37.5,0.503
15,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,20,0.6912,50.0,0.5037
16,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,24,0.6905,50.0,0.5043
17,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,28,0.6897,62.5,0.505
18,mlp,,ll,abstract,0.002,0.015,,2.0,0,2,32,0.689,62.5,0.5057
19,mlp,,ll,abstract,0.002,0.015,,2.0,0,3,1,0.6857,50.0,0.5125
20,mlp,,ll,abstract,0.002,0.015,,2.0,0,3,4,0.6771,50.0,0.5199
