,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,mse,abstract,0.002,0.015,,2.0,0,1,1,0.0535,62.5,0.5359
2,mlp,,mse,abstract,0.002,0.015,,2.0,0,1,4,0.0452,50.0,0.5357
3,mlp,,mse,abstract,0.002,0.015,,2.0,0,1,8,0.0379,62.5,0.5363
4,mlp,,mse,abstract,0.002,0.015,,2.0,0,1,12,0.0332,62.5,0.5378
5,mlp,,mse,abstract,0.002,0.015,,2.0,0,1,16,0.03,62.5,0.54
6,mlp,,mse,abstract,0.002,0.015,,2.0,0,2,1,0.0353,50.0,0.4978
7,mlp,,mse,abstract,0.002,0.015,,2.0,0,2,4,0.0342,50.0,0.4979
8,mlp,,mse,abstract,0.002,0.015,,2.0,0,2,8,0.0333,50.0,0.4979
9,mlp,,mse,abstract,0.002,0.015,,2.0,0,2,12,0.0328,50.0,0.498
10,mlp,,mse,abstract,0.002,0.015,,2.0,0,2,16,0.0326,50.0,0.498
11,mlp,,mse,abstract,0.002,0.015,,2.0,0,3,1,0.0829,25.0,0.4503
12,mlp,,mse,abstract,0.002,0.015,,2.0,0,3,4,0.066,37.5,0.4581
13,mlp,,mse,abstract,0.002,0.015,,2.0,0,3,8,0.0527,50.0,0.4669
14,mlp,,mse,abstract,0.002,0.015,,2.0,0,3,12,0.0453,50.0,0.4738
15,mlp,,mse,abstract,0.002,0.015,,2.0,0,3,16,0.041,50.0,0.4791
16,mlp,,mse,abstract,0.002,0.015,,2.0,0,4,1,0.0959,37.5,0.4922
17,mlp,,mse,abstract,0.002,0.015,,2.0,0,4,4,0.0706,62.5,0.4998
18,mlp,,mse,abstract,0.002,0.015,,2.0,0,4,8,0.0505,50.0,0.5081
19,mlp,,mse,abstract,0.002,0.015,,2.0,0,4,12,0.0392,50.0,0.5142
20,mlp,,mse,abstract,0.002,0.015,,2.0,0,4,16,0.0327,50.0,0.5187
21,mlp,,mse,abstract,0.002,0.015,,2.0,0,5,1,0.1567,50.0,0.5093
22,mlp,,mse,abstract,0.002,0.015,,2.0,0,5,4,0.0993,50.0,0.5165
23,mlp,,mse,abstract,0.002,0.015,,2.0,0,5,8,0.0611,62.5,0.5238
