,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,1,16,0.6925,100.0,0.5091
2,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,5,16,0.6572,100.0,0.5447
3,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,10,16,0.6154,100.0,0.5882
4,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,15,16,0.5749,100.0,0.6311
5,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,1,16,0.6942,100.0,0.5057
6,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,5,16,0.6716,100.0,0.5284
7,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,10,16,0.6441,100.0,0.5566
8,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,15,16,0.6171,100.0,0.5849
9,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,1,16,0.6933,100.0,0.5074
10,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,5,16,0.6645,100.0,0.5364
11,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,10,16,0.631,100.0,0.5709
12,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,15,16,0.5999,100.0,0.6035
13,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,1,16,0.6932,100.0,0.5077
14,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,5,16,0.6633,100.0,0.5378
15,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,10,16,0.6286,100.0,0.5735
16,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,15,16,0.5968,100.0,0.6069
17,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,1,16,0.694,100.0,0.506
18,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,5,16,0.6704,100.0,0.5298
19,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,10,16,0.6423,100.0,0.5587
20,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,15,16,0.6155,100.0,0.5866
21,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,1,16,0.6952,100.0,0.5036
22,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,5,16,0.6808,100.0,0.518
23,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,10,16,0.6631,100.0,0.536
24,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,15,16,0.6454,100.0,0.5542
1,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,1,16,0.6925,100.0,0.5091
2,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,5,16,0.6572,100.0,0.5447
3,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,10,16,0.6154,100.0,0.5882
4,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,1,15,16,0.5749,100.0,0.6311
5,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,1,16,0.6942,100.0,0.5057
6,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,5,16,0.6716,100.0,0.5284
7,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,10,16,0.6441,100.0,0.5566
8,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,2,15,16,0.6171,100.0,0.5849
9,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,1,16,0.6933,100.0,0.5074
10,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,5,16,0.6645,100.0,0.5364
11,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,10,16,0.631,100.0,0.5709
12,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,3,15,16,0.5999,100.0,0.6035
13,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,1,16,0.6932,100.0,0.5077
14,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,5,16,0.6633,100.0,0.5378
15,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,10,16,0.6286,100.0,0.5735
16,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,4,15,16,0.5968,100.0,0.6069
17,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,1,16,0.694,100.0,0.506
18,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,5,16,0.6704,100.0,0.5298
19,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,10,16,0.6423,100.0,0.5587
20,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,5,15,16,0.6155,100.0,0.5866
21,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,1,16,0.6952,100.0,0.5036
22,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,5,16,0.6808,100.0,0.518
23,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,10,16,0.6631,100.0,0.536
24,alcove,,ll,abstract,0.0033,0.03,6.5,2,0,6,15,16,0.6454,100.0,0.5542
25,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,1,1,16,0.6925,100.0,0.5091
26,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,1,5,16,0.6572,100.0,0.5447
27,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,1,10,16,0.6154,100.0,0.5882
28,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,1,15,16,0.5749,100.0,0.6311
29,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,2,1,16,0.6942,100.0,0.5057
30,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,2,5,16,0.6716,100.0,0.5284
31,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,2,10,16,0.6441,100.0,0.5566
32,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,2,15,16,0.6171,100.0,0.5849
33,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,1,16,0.6933,100.0,0.5074
34,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,5,16,0.6645,100.0,0.5364
35,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,10,16,0.631,100.0,0.5709
36,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,15,16,0.5999,100.0,0.6035
