,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,1,32,0.6955,100.0,0.5039
2,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,5,32,0.675,100.0,0.5254
3,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,10,32,0.6411,100.0,0.561
4,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,15,32,0.5083,100.0,0.7251
5,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,20,32,0.3591,100.0,0.8528
6,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,25,32,0.279,100.0,0.9083
7,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,30,32,0.2283,100.0,0.9376
8,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,1,32,0.6956,100.0,0.5037
9,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,5,32,0.6763,100.0,0.5239
10,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,10,32,0.6446,100.0,0.5567
11,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,15,32,0.6126,100.0,0.59
12,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,20,32,0.5823,100.0,0.6219
13,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,25,32,0.5541,100.0,0.6518
14,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,30,32,0.5278,100.0,0.6795
15,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,1,32,0.6938,87.5,0.5072
16,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,5,32,0.6645,87.5,0.5381
17,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,10,32,0.6235,100.0,0.5848
18,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,15,32,0.582,100.0,0.6307
19,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,20,32,0.5427,100.0,0.6727
20,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,25,32,0.5069,100.0,0.7097
21,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,30,32,0.4737,100.0,0.7426
22,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,1,32,0.6933,100.0,0.5081
23,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,5,32,0.6605,100.0,0.5426
24,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,10,32,0.616,100.0,0.5906
25,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,15,32,0.5731,100.0,0.6351
26,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,20,32,0.5353,100.0,0.6724
27,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,25,32,0.4992,100.0,0.706
28,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,30,32,0.467,100.0,0.736
29,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,5,1,32,0.6956,100.0,0.5037
30,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,5,5,32,0.6765,100.0,0.5237
31,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,5,10,32,0.6448,100.0,0.5564
32,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,5,15,32,0.6128,100.0,0.5898
33,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,5,20,32,0.5826,100.0,0.6216
34,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,5,25,32,0.5544,100.0,0.6514
35,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,5,30,32,0.5282,100.0,0.6792
36,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,6,1,32,0.6957,100.0,0.5035
37,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,6,5,32,0.6774,100.0,0.5226
38,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,6,10,32,0.6461,100.0,0.5551
39,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,6,15,32,0.614,100.0,0.5885
40,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,6,20,32,0.5837,100.0,0.6204
41,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,6,25,32,0.5555,100.0,0.6503
42,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,6,30,32,0.5291,100.0,0.6781
43,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,1,1,32,0.6955,100.0,0.5039
44,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,1,5,32,0.675,100.0,0.5254
45,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,1,10,32,0.6412,100.0,0.5609
46,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,1,15,32,0.5091,100.0,0.7246
47,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,1,20,32,0.3591,100.0,0.8532
48,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,1,25,32,0.279,100.0,0.9085
49,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,1,30,32,0.2283,100.0,0.9377
50,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,2,1,32,0.6956,100.0,0.5036
51,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,2,5,32,0.6768,100.0,0.5233
52,alcove,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,1,2,10,32,0.6452,100.0,0.5559
