,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,1,128,0.3502,50.0,0.5831
2,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,2,128,0.227,100.0,0.7412
3,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,3,128,0.0526,100.0,0.8565
4,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,4,128,0.0058,100.0,0.8894
5,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,5,128,0.001,100.0,0.8989
6,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,6,128,0.0,100.0,0.8989
7,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,7,128,0.0,100.0,0.8989
8,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,8,128,0.0,100.0,0.8989
9,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,9,128,0.0,100.0,0.8989
10,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,10,128,0.0,100.0,0.8989
11,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,11,128,0.0,100.0,0.8989
12,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,12,128,0.0,100.0,0.8989
13,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,13,128,0.0,100.0,0.8989
14,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,14,128,0.0,100.0,0.8989
15,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,15,128,0.0,100.0,0.8989
16,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,16,128,0.0,100.0,0.8989
17,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,17,128,0.0,100.0,0.8989
18,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,18,128,0.0,100.0,0.8989
19,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,19,128,0.0,100.0,0.8989
20,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,20,128,0.0,100.0,0.8989
21,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,21,128,0.0,100.0,0.8989
22,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,22,128,0.0,100.0,0.8989
23,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,23,128,0.0,100.0,0.8989
24,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,24,128,0.0,100.0,0.8989
25,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,25,128,0.0,100.0,0.8989
26,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,26,128,0.0,100.0,0.8989
27,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,27,128,0.0,100.0,0.8989
28,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,28,128,0.0,100.0,0.8989
29,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,29,128,0.0,100.0,0.8989
30,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,30,128,0.0,100.0,0.8989
31,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,31,128,0.0,100.0,0.8989
32,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,32,128,0.0,100.0,0.8989
33,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,33,128,0.0,100.0,0.8989
34,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,34,128,0.0,100.0,0.8989
35,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,35,128,0.0,100.0,0.8989
36,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,36,128,0.0,100.0,0.8989
37,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,37,128,0.0,100.0,0.8989
38,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,38,128,0.0,100.0,0.8989
39,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,39,128,0.0,100.0,0.8989
40,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,40,128,0.0,100.0,0.8989
41,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,41,128,0.0,100.0,0.8989
42,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,42,128,0.0,100.0,0.8989
43,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,43,128,0.0,100.0,0.8989
44,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,44,128,0.0,100.0,0.8989
45,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,45,128,0.0,100.0,0.8989
46,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,46,128,0.0,100.0,0.8989
47,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,47,128,0.0,100.0,0.8989
48,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,48,128,0.0,100.0,0.8989
49,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,49,128,0.0,100.0,0.8989
50,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,50,128,0.0,100.0,0.8989
51,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,51,128,0.0,100.0,0.8989
52,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,52,128,0.0,100.0,0.8989
53,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,53,128,0.0,100.0,0.8989
54,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,54,128,0.0,100.0,0.8989
55,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,55,128,0.0,100.0,0.8989
56,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,56,128,0.0,100.0,0.8989
57,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,57,128,0.0,100.0,0.8989
58,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,58,128,0.0,100.0,0.8989
59,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,59,128,0.0,100.0,0.8989
60,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,60,128,0.0,100.0,0.8989
61,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,61,128,0.0,100.0,0.8989
62,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,62,128,0.0,100.0,0.8989
63,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,63,128,0.0,100.0,0.8989
64,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,64,128,0.0,100.0,0.8989
65,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,65,128,0.0,100.0,0.8989
66,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,66,128,0.0,100.0,0.8989
67,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,67,128,0.0,100.0,0.8989
68,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,68,128,0.0,100.0,0.8989
69,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,69,128,0.0,100.0,0.8989
70,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,70,128,0.0,100.0,0.8989
71,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,71,128,0.0,100.0,0.8989
72,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,72,128,0.0,100.0,0.8989
73,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,73,128,0.0,100.0,0.8989
74,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,74,128,0.0,100.0,0.8989
75,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,75,128,0.0,100.0,0.8989
76,mlp,,humble,abstract,0.0033,0.3,,2.0,0,1,76,128,0.0,100.0,0.8989
