,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,1,16,0.7497,50.0,0.4738
2,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,5,16,0.7035,50.0,0.5117
3,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,10,16,0.6526,62.5,0.56
4,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,15,16,0.5988,87.5,0.6155
5,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,1,16,0.7109,50.0,0.4984
6,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,5,16,0.7083,50.0,0.4992
7,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,10,16,0.7065,50.0,0.5002
8,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,15,16,0.7051,50.0,0.5011
9,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,1,16,0.7462,50.0,0.4847
10,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,5,16,0.6942,50.0,0.5184
11,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,10,16,0.6531,75.0,0.5572
12,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,15,16,0.6215,75.0,0.5914
13,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,1,16,0.6927,62.5,0.519
14,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,5,16,0.6678,75.0,0.5426
15,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,10,16,0.647,75.0,0.5663
16,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,15,16,0.626,75.0,0.5894
17,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,1,16,0.7364,50.0,0.4783
18,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,5,16,0.7241,50.0,0.4867
19,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,10,16,0.712,50.0,0.4963
20,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,15,16,0.7018,50.0,0.5053
21,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,1,16,0.7085,37.5,0.5017
22,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,5,16,0.7058,50.0,0.5017
23,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,10,16,0.7047,50.0,0.5017
24,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,15,16,0.7044,50.0,0.5017
1,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,1,16,0.6945,75.0,0.5132
2,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,5,16,0.6642,62.5,0.5443
3,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,10,16,0.6281,62.5,0.5828
4,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,1,15,16,0.5851,87.5,0.6282
5,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,1,16,0.7699,50.0,0.5007
6,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,5,16,0.726,50.0,0.5023
7,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,10,16,0.7109,50.0,0.5024
8,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,2,15,16,0.7068,50.0,0.5023
9,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,1,16,0.7598,25.0,0.4547
10,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,5,16,0.7341,25.0,0.4761
11,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,10,16,0.7096,50.0,0.4989
12,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,3,15,16,0.6885,62.5,0.5198
13,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,1,16,0.6786,50.0,0.5458
14,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,5,16,0.6481,50.0,0.5694
15,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,10,16,0.6115,75.0,0.6026
16,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,4,15,16,0.5741,75.0,0.6391
17,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,1,16,0.7261,50.0,0.4911
18,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,5,16,0.7066,50.0,0.5022
19,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,10,16,0.6923,62.5,0.5143
20,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,5,15,16,0.6817,75.0,0.5252
21,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,1,16,0.7379,50.0,0.5002
22,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,5,16,0.717,37.5,0.5005
23,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,10,16,0.712,50.0,0.5006
24,mlp,,ll,abstract,0.0033,0.03,6.5,2,0,6,15,16,0.7107,50.0,0.5007
25,mlp,,ll,abstract,0.0033,0.03,6.5,2,1,1,1,16,0.7187,50.0,0.5373
26,mlp,,ll,abstract,0.0033,0.03,6.5,2,1,1,5,16,0.6137,50.0,0.6054
27,mlp,,ll,abstract,0.0033,0.03,6.5,2,1,1,10,16,0.5241,100.0,0.6956
