,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,1,64,0.8862,62.5,0.6002
2,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,5,64,0.023,100.0,0.9544
3,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,10,64,0.0,100.0,0.9544
4,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,15,64,0.0,100.0,0.9544
5,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,20,64,0.0,100.0,0.9544
6,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,25,64,0.0,100.0,0.9544
7,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,30,64,0.0,100.0,0.9544
8,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,35,64,0.0,100.0,0.9544
9,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,40,64,0.0,100.0,0.9544
10,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,45,64,0.0,100.0,0.9544
11,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,50,64,0.0,100.0,0.9544
12,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,55,64,0.0,100.0,0.9544
13,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,60,64,0.0,100.0,0.9544
14,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,1,64,1.4128,50.0,0.503
15,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,5,64,0.9857,50.0,0.5412
16,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,10,64,0.6279,75.0,0.6914
17,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,15,64,0.5244,75.0,0.6968
18,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,20,64,0.3149,100.0,0.8177
19,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,25,64,0.0182,100.0,0.9209
20,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,30,64,0.0,100.0,0.9253
21,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,35,64,0.0,100.0,0.9253
22,mlp,resnet152,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,40,64,0.0,100.0,0.9253
