,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,1,1,16,0.6189,50.0,0.5651
2,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,1,5,16,0.0,100.0,0.8994
3,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,1,10,16,0.0,100.0,0.8994
4,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,1,15,16,0.0,100.0,0.8994
5,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,2,1,16,0.8676,50.0,0.5007
6,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,2,5,16,0.5798,50.0,0.5035
7,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,2,10,16,0.463,75.0,0.5653
8,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,2,15,16,0.2697,87.5,0.6448
9,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,3,1,16,0.7579,62.5,0.5758
10,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,3,5,16,0.4099,75.0,0.6815
11,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,3,10,16,0.134,100.0,0.8372
12,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,3,15,16,0.0059,100.0,0.9126
13,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,4,1,16,0.6447,62.5,0.6045
14,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,4,5,16,0.0727,87.5,0.8472
15,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,4,10,16,0.0,100.0,0.9183
16,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,4,15,16,0.0,100.0,0.9183
17,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,5,1,16,0.7964,50.0,0.5039
18,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,5,5,16,0.5217,75.0,0.5448
19,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,5,10,16,0.2962,87.5,0.6756
20,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,5,15,16,0.2581,87.5,0.7023
21,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,6,1,16,0.9127,50.0,0.5013
22,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,6,5,16,0.5785,50.0,0.5018
23,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,6,10,16,0.5697,62.5,0.5093
24,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,0,6,15,16,0.5463,62.5,0.5317
25,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,1,1,16,0.5989,50.0,0.5599
26,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,1,5,16,0.0024,100.0,0.8835
27,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,1,10,16,0.0,100.0,0.8883
28,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,1,15,16,0.0,100.0,0.8883
29,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,2,1,16,0.9516,50.0,0.5019
30,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,2,5,16,0.5777,50.0,0.509
31,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,2,10,16,0.4742,75.0,0.5695
32,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,2,15,16,0.2647,75.0,0.7137
33,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,3,1,16,0.7272,50.0,0.5067
34,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,3,5,16,0.5195,62.5,0.5658
35,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,3,10,16,0.2345,87.5,0.8054
36,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,3,15,16,0.0579,100.0,0.8859
37,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,4,1,16,0.5176,50.0,0.5551
38,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,4,5,16,0.2023,100.0,0.8015
39,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,4,10,16,0.0001,100.0,0.9151
40,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,4,15,16,0.0,100.0,0.9165
41,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,5,1,16,0.9036,50.0,0.5016
42,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,5,5,16,0.5661,50.0,0.5144
43,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,5,10,16,0.4196,87.5,0.5937
44,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,5,15,16,0.2394,87.5,0.7156
45,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,6,1,16,1.0322,50.0,0.5014
46,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,6,5,16,0.6097,62.5,0.5026
47,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,6,10,16,0.5994,62.5,0.509
48,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,6,15,16,0.5642,62.5,0.5326
49,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,1,16,0.5112,62.5,0.6588
50,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,5,16,0.0,100.0,0.8992
51,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,10,16,0.0,100.0,0.9002
52,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,15,16,0.0,100.0,0.9003
53,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,1,16,0.8299,62.5,0.5107
54,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,5,16,0.4942,50.0,0.545
55,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,10,16,0.3061,75.0,0.6047
56,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,15,16,0.0713,100.0,0.8109
57,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,1,16,0.8872,62.5,0.546
58,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,5,16,0.3808,75.0,0.7267
59,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,10,16,0.101,100.0,0.8629
60,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,15,16,0.0002,100.0,0.9266
61,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,4,1,16,0.4903,50.0,0.5523
62,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,4,5,16,0.0807,100.0,0.8509
