,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,1,32,0.377,50.0,0.5045
2,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,5,32,0.0339,75.0,0.6724
3,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,10,32,0.0009,100.0,0.701
4,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,15,32,0.0005,100.0,0.6978
5,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,20,32,0.0003,100.0,0.6957
6,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,25,32,0.0002,100.0,0.6944
7,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,30,32,0.0002,87.5,0.6935
8,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,1,32,0.539,50.0,0.5002
9,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,5,32,0.3143,50.0,0.5006
10,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,10,32,0.2184,50.0,0.5538
11,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,15,32,0.0935,75.0,0.6498
12,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,20,32,0.014,87.5,0.7086
13,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,25,32,0.001,87.5,0.6954
14,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,30,32,0.0004,87.5,0.6937
15,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,1,32,0.235,75.0,0.6272
16,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,5,32,0.2306,75.0,0.6052
17,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,10,32,0.0885,62.5,0.652
18,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,15,32,0.0088,75.0,0.6814
19,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,20,32,0.0012,62.5,0.6871
20,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,25,32,0.0004,75.0,0.6891
21,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,30,32,0.0002,62.5,0.688
22,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,1,32,0.4735,50.0,0.5017
23,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,5,32,0.2106,50.0,0.556
24,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,10,32,0.0025,75.0,0.688
25,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,15,32,0.0016,87.5,0.6932
26,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,20,32,0.0012,87.5,0.6928
27,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,25,32,0.0009,87.5,0.6924
28,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,30,32,0.0007,87.5,0.6922
29,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,1,32,0.3217,50.0,0.5039
30,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,5,32,0.2822,50.0,0.5095
31,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,10,32,0.2506,50.0,0.5391
32,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,15,32,0.2179,50.0,0.5634
33,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,20,32,0.1891,62.5,0.5903
34,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,25,32,0.1755,62.5,0.5968
35,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,30,32,0.127,75.0,0.6276
36,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,1,32,0.3774,50.0,0.4999
37,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,5,32,0.338,50.0,0.4999
38,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,10,32,0.3364,50.0,0.5002
39,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,15,32,0.3349,50.0,0.5008
40,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,20,32,0.3325,50.0,0.5025
41,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,25,32,0.3259,50.0,0.5072
42,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,30,32,0.3127,50.0,0.5192
43,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,1,32,0.3926,50.0,0.5004
44,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,5,32,0.1113,50.0,0.6115
45,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,10,32,0.0003,75.0,0.6914
46,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,15,32,0.0001,87.5,0.6928
47,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,20,32,0.0001,87.5,0.6927
48,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,25,32,0.0001,87.5,0.6924
49,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,30,32,0.0,87.5,0.6921
50,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,1,32,0.5448,50.0,0.5
51,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,5,32,0.3059,50.0,0.501
52,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,10,32,0.2567,50.0,0.5201
53,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,15,32,0.2017,75.0,0.58
54,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,20,32,0.1079,75.0,0.6501
55,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,25,32,0.0068,87.5,0.695
56,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,30,32,0.0007,87.5,0.6997
57,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,1,32,0.3128,50.0,0.5116
58,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,5,32,0.3183,50.0,0.5365
59,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,10,32,0.0513,75.0,0.6675
60,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,15,32,0.0035,87.5,0.689
61,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,20,32,0.0006,87.5,0.6897
62,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,25,32,0.0002,75.0,0.6899
63,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,30,32,0.0001,62.5,0.6901
64,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,4,1,32,0.281,50.0,0.5137
65,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,4,5,32,0.1964,62.5,0.6001
66,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,4,10,32,0.0465,62.5,0.6772
67,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,4,15,32,0.0061,75.0,0.6946
68,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,4,20,32,0.0041,75.0,0.6942
69,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,4,25,32,0.0031,75.0,0.6936
70,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,4,30,32,0.0025,75.0,0.6932
71,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,1,32,0.4242,50.0,0.5018
72,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,5,32,0.286,50.0,0.5045
73,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,10,32,0.2544,50.0,0.5157
74,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,15,32,0.2458,50.0,0.5404
75,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,20,32,0.2166,50.0,0.5534
76,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,25,32,0.1999,50.0,0.5721
77,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,5,30,32,0.1728,62.5,0.5852
78,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,1,32,0.5572,50.0,0.5
79,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,5,32,0.4281,50.0,0.5
80,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,10,32,0.4281,50.0,0.5
81,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,15,32,0.428,50.0,0.5
82,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,20,32,0.428,50.0,0.5001
83,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,25,32,0.4279,50.0,0.5001
84,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,30,32,0.4277,50.0,0.5001
85,mlp,resnet152,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,1,32,0.3601,50.0,0.5105
