,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,1,64,0.7478,50.0,0.5203
2,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,5,64,0.6466,75.0,0.6001
3,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,10,64,0.3248,100.0,0.8636
4,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,15,64,0.1429,100.0,0.9791
5,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,20,64,0.0805,100.0,0.9938
6,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,25,64,0.0537,100.0,0.9972
7,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,30,64,0.0396,100.0,0.9985
8,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,35,64,0.0311,100.0,0.9991
9,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,40,64,0.0254,100.0,0.9994
10,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,45,64,0.0214,100.0,0.9996
11,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,50,64,0.0185,100.0,0.9997
12,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,55,64,0.0162,100.0,0.9997
13,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,1,60,64,0.0144,100.0,0.9998
14,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,1,64,0.8295,50.0,0.512
15,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,5,64,0.6997,75.0,0.5403
16,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,10,64,0.6327,75.0,0.6159
17,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,15,64,0.5448,75.0,0.6846
18,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,20,64,0.4885,75.0,0.7173
19,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,25,64,0.4548,75.0,0.7317
20,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,30,64,0.4332,75.0,0.7386
21,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,35,64,0.4186,75.0,0.7424
22,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,40,64,0.4082,75.0,0.7446
23,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,45,64,0.4006,75.0,0.746
24,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,50,64,0.3949,75.0,0.7469
25,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,55,64,0.3904,75.0,0.7476
26,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,2,60,64,0.3869,75.0,0.7482
27,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,1,64,0.7767,75.0,0.6515
28,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,5,64,0.5116,87.5,0.789
29,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,10,64,0.3648,87.5,0.8527
30,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,15,64,0.2352,87.5,0.9164
31,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,20,64,0.1408,100.0,0.9603
32,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,25,64,0.0887,100.0,0.9816
33,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,30,64,0.0621,100.0,0.9908
34,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,35,64,0.0463,100.0,0.9965
35,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,40,64,0.0301,100.0,0.9988
36,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,45,64,0.0241,100.0,0.9992
37,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,50,64,0.0203,100.0,0.9994
38,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,55,64,0.0177,100.0,0.9995
39,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,3,60,64,0.0157,100.0,0.9996
40,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,1,64,0.6832,75.0,0.6375
41,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,5,64,0.4767,75.0,0.7802
42,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,10,64,0.2056,100.0,0.9601
43,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,15,64,0.0798,100.0,0.9942
44,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,20,64,0.0494,100.0,0.9977
45,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,25,64,0.0355,100.0,0.9988
46,mlp,resnet18,ll,shj_images_set1,0.0033,0.03,6.5,2,0,4,30,64,0.0276,100.0,0.9992
