,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,1,32,1.4199,50.0,0.5007
2,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,5,32,1.0451,75.0,0.5471
3,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,10,32,1.0478,62.5,0.5429
4,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,15,32,0.9801,62.5,0.5611
5,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,20,32,0.9129,62.5,0.5712
6,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,25,32,0.8512,62.5,0.5753
7,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,1,30,32,0.8512,62.5,0.5753
8,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,1,32,1.2204,50.0,0.4995
9,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,5,32,1.1285,50.0,0.5018
10,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,10,32,1.1477,50.0,0.5161
11,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,15,32,0.9702,62.5,0.5649
12,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,20,32,0.9819,62.5,0.5872
13,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,25,32,0.8321,62.5,0.5946
14,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,2,30,32,0.8515,62.5,0.6009
15,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,3,1,32,1.2164,50.0,0.502
16,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,3,5,32,0.9459,87.5,0.6983
17,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,3,10,32,0.2832,87.5,0.8076
18,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,3,15,32,0.2801,87.5,0.8171
19,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,0,3,20,32,0.2788,87.5,0.8159
