,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,1,16,0.5408,50.0,0.5009
2,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,5,16,0.2841,50.0,0.5001
3,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,10,16,0.2898,50.0,0.5001
4,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,1,15,16,0.2895,50.0,0.5005
5,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,1,16,0.5861,50.0,0.5
6,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,5,16,0.29,50.0,0.5
7,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,10,16,0.2899,50.0,0.5
8,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,2,15,16,0.2899,50.0,0.5
9,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,1,16,0.7292,50.0,0.4999
10,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,5,16,0.2347,50.0,0.5707
11,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,10,16,0.1142,50.0,0.6326
12,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,3,15,16,0.1096,75.0,0.6469
13,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,1,16,0.4254,50.0,0.5731
14,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,5,16,0.2219,62.5,0.5993
15,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,10,16,0.234,75.0,0.6052
16,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,4,15,16,0.2181,75.0,0.6002
17,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,1,16,0.4712,50.0,0.5001
18,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,5,16,0.2819,50.0,0.513
19,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,10,16,0.2556,50.0,0.5347
20,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,5,15,16,0.2474,62.5,0.5385
21,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,1,16,0.8641,50.0,0.5003
22,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,5,16,0.4138,50.0,0.5045
23,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,10,16,0.3531,50.0,0.5147
24,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,0,6,15,16,0.3436,50.0,0.5173
25,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,1,16,0.2935,50.0,0.4992
26,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,5,16,0.275,87.5,0.5317
27,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,10,16,0.2275,75.0,0.6072
28,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,1,15,16,0.2287,75.0,0.6558
29,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,1,16,0.615,50.0,0.5
30,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,5,16,0.2905,50.0,0.5
31,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,10,16,0.3269,50.0,0.4998
32,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,2,15,16,0.29,50.0,0.5
33,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,1,16,0.5582,50.0,0.5002
34,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,5,16,0.4246,50.0,0.5026
35,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,3,10,16,0.4039,50.0,0.5187
