,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,1,1,0.6931,100.0,0.5023
2,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,1,4,0.6842,100.0,0.5141
3,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,1,8,0.6513,100.0,0.5578
4,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,1,12,0.591,100.0,0.6222
5,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,1,16,0.5347,100.0,0.6806
6,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,2,1,0.6931,100.0,0.5014
7,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,2,4,0.6882,100.0,0.5075
8,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,2,8,0.6754,100.0,0.5219
9,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,2,12,0.6589,100.0,0.5395
10,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,2,16,0.6399,100.0,0.56
11,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,3,1,0.6931,87.5,0.5026
12,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,3,4,0.6842,87.5,0.5131
13,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,3,8,0.6653,87.5,0.5352
14,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,3,12,0.6369,75.0,0.5677
15,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,3,16,0.6053,75.0,0.6033
16,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,4,1,0.6931,87.5,0.503
17,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,4,4,0.6829,87.5,0.5149
18,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,4,8,0.6615,87.5,0.54
19,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,4,12,0.6299,87.5,0.5748
20,alcove,resnet152,ll,shj_images_set1,0.002,0.015,6.0,2.0,0,4,16,0.5984,87.5,0.6085
