,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,1,1,0.0625,50.0,0.5
2,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,1,4,0.0402,50.0,0.5
3,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,1,8,0.0312,50.0,0.512
4,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,1,12,0.0263,50.0,0.5281
5,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,1,16,0.0221,50.0,0.5438
6,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,2,1,0.0625,50.0,0.4999
7,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,2,4,0.0402,50.0,0.5
8,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,2,8,0.0315,50.0,0.5076
9,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,2,12,0.0277,50.0,0.5186
10,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,2,16,0.0248,50.0,0.5284
11,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,3,1,0.0625,50.0,0.4996
12,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,3,4,0.0404,50.0,0.5
13,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,3,8,0.0312,50.0,0.5127
14,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,3,12,0.0261,50.0,0.5294
15,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,3,16,0.0215,50.0,0.5463
16,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,4,1,0.0625,50.0,0.4996
17,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,4,4,0.0404,50.0,0.5
18,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,4,8,0.0313,50.0,0.5112
19,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,4,12,0.0263,50.0,0.5278
20,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,4,16,0.0219,50.0,0.544
21,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,5,1,0.0625,50.0,0.5002
22,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,5,4,0.0402,50.0,0.5
23,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,5,8,0.0311,50.0,0.512
24,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,5,12,0.0261,50.0,0.5278
25,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,5,16,0.0217,50.0,0.5435
26,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,6,1,0.0625,50.0,0.5
27,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,6,4,0.0402,50.0,0.5
28,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,6,8,0.0315,50.0,0.5077
29,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,6,12,0.0276,50.0,0.5192
30,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,0,6,16,0.0244,50.0,0.5296
31,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,1,1,0.0625,50.0,0.5
32,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,1,4,0.0402,50.0,0.5
33,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,1,8,0.0312,50.0,0.512
34,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,1,12,0.0263,50.0,0.5281
35,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,1,16,0.0221,50.0,0.5438
36,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,2,1,0.0625,50.0,0.5
37,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,2,4,0.0402,50.0,0.5
38,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,2,8,0.0312,50.0,0.5111
39,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,2,12,0.0265,50.0,0.5259
40,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,2,16,0.0225,50.0,0.5404
41,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,3,1,0.0625,50.0,0.5
42,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,3,4,0.0403,50.0,0.5
43,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,3,8,0.0308,50.0,0.5165
44,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,3,12,0.0252,50.0,0.5358
45,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,3,16,0.0205,50.0,0.5536
46,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,4,1,0.0625,50.0,0.4996
47,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,4,4,0.0404,50.0,0.5
48,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,4,8,0.0313,50.0,0.5112
49,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,4,12,0.0263,50.0,0.5278
50,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,4,16,0.0219,50.0,0.544
51,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,5,1,0.0625,50.0,0.5002
52,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,5,4,0.0402,50.0,0.5
53,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,5,8,0.0311,50.0,0.512
54,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,5,12,0.0261,50.0,0.5278
55,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,5,16,0.0217,50.0,0.5435
56,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,6,1,0.0625,50.0,0.5
57,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,6,4,0.0402,50.0,0.5
58,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,6,8,0.0315,50.0,0.5077
59,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,6,12,0.0276,50.0,0.5192
60,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,1,6,16,0.0244,50.0,0.5296
61,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,1,1,0.0625,50.0,0.5016
62,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,1,4,0.0399,50.0,0.5
63,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,1,8,0.0306,50.0,0.5396
64,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,1,12,0.0237,50.0,0.5422
65,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,1,16,0.0195,50.0,0.574
66,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,2,1,0.0625,50.0,0.4999
67,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,2,4,0.0402,50.0,0.5
68,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,2,8,0.0315,50.0,0.5076
69,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,2,12,0.0277,50.0,0.5186
70,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,2,16,0.0248,50.0,0.5284
71,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,3,1,0.0625,50.0,0.4997
72,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,3,4,0.0403,50.0,0.5
73,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,3,8,0.0312,50.0,0.5114
74,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,3,12,0.0263,50.0,0.5267
75,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,3,16,0.0221,50.0,0.5417
76,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,4,1,0.0625,50.0,0.4996
77,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,4,4,0.0404,50.0,0.5
78,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,4,8,0.0313,50.0,0.5112
79,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,4,12,0.0263,50.0,0.5278
80,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,4,16,0.0219,50.0,0.544
81,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,5,1,0.0625,50.0,0.4997
82,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,5,4,0.0403,50.0,0.5
83,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,5,8,0.0313,50.0,0.5101
84,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,5,12,0.0267,50.0,0.5243
85,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,5,16,0.0227,50.0,0.538
86,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,6,1,0.0625,50.0,0.5
87,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,6,4,0.0402,50.0,0.5
88,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,6,8,0.0315,50.0,0.5077
89,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,6,12,0.0276,50.0,0.5192
90,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,2,6,16,0.0244,50.0,0.5296
91,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,1,1,0.0625,50.0,0.5014
92,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,1,4,0.0401,50.0,0.5
93,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,1,8,0.0303,50.0,0.53
94,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,1,12,0.0241,50.0,0.552
95,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,1,16,0.0184,50.0,0.5716
96,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,2,1,0.0625,50.0,0.5
97,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,2,4,0.0402,50.0,0.5
98,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,2,8,0.0312,50.0,0.5111
99,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,2,12,0.0265,50.0,0.5259
100,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,2,16,0.0225,50.0,0.5404
101,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,3,1,0.0625,50.0,0.5
102,alcove,vgg11,mse,shj_images_set1,0.002,0.015,6.0,2.0,3,3,4,0.0403,50.0,0.5
