,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,1,1,1.0,100.0,0.5063
2,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,1,4,0.9578,100.0,0.5286
3,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,1,8,0.8978,100.0,0.5583
4,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,1,12,0.8378,100.0,0.5877
5,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,1,16,0.7778,100.0,0.6164
6,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,2,1,1.0,75.0,0.5023
7,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,2,4,0.9659,100.0,0.5272
8,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,2,8,0.7106,100.0,0.6844
9,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,2,12,0.69,100.0,0.7721
10,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,2,16,0.3308,100.0,0.677
11,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,3,1,1.0,75.0,0.5025
12,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,3,4,0.9692,100.0,0.5229
13,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,3,8,0.9076,100.0,0.5546
14,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,3,12,0.7197,100.0,0.6778
15,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,3,16,0.723,100.0,0.7707
16,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,4,1,1.0,87.5,0.5025
17,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,4,4,0.9692,100.0,0.5229
18,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,4,8,0.9085,100.0,0.5535
19,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,4,12,0.8163,100.0,0.6218
20,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,4,16,0.5015,100.0,0.7556
21,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,5,1,1.0,75.0,0.5026
22,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,5,4,0.9692,100.0,0.5229
23,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,5,8,0.9078,100.0,0.5542
24,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,5,12,0.7834,100.0,0.6516
25,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,5,16,0.4264,100.0,0.7786
26,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,6,1,1.0,62.5,0.5006
27,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,6,4,0.9817,100.0,0.5162
28,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,6,8,0.9231,100.0,0.5458
29,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,6,12,0.8629,100.0,0.5756
30,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,0,6,16,0.7884,100.0,0.6195
31,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,1,1,1.0,100.0,0.5063
32,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,1,4,0.9578,100.0,0.5286
33,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,1,8,0.8978,100.0,0.5583
34,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,1,12,0.8378,100.0,0.5877
35,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,1,16,0.7778,100.0,0.6164
36,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,2,1,1.0,62.5,0.5007
37,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,2,4,0.9788,100.0,0.518
38,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,2,8,0.8997,100.0,0.5677
39,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,2,12,0.5066,100.0,0.734
40,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,2,16,0.7481,100.0,0.6299
41,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,3,1,1.0,87.5,0.5026
42,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,3,4,0.9687,100.0,0.5232
43,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,3,8,0.9077,100.0,0.554
44,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,3,12,0.7995,100.0,0.6476
45,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,3,16,0.3813,100.0,0.6817
46,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,4,1,1.0,87.5,0.5025
47,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,4,4,0.9692,100.0,0.5229
48,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,4,8,0.9085,100.0,0.5535
49,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,4,12,0.8163,100.0,0.6218
50,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,4,16,0.5015,100.0,0.7556
51,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,5,1,1.0,75.0,0.5026
52,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,5,4,0.9692,100.0,0.5229
53,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,5,8,0.9078,100.0,0.5542
54,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,5,12,0.7834,100.0,0.6516
55,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,5,16,0.4264,100.0,0.7786
56,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,6,1,1.0,62.5,0.5006
57,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,6,4,0.9817,100.0,0.5162
58,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,6,8,0.9231,100.0,0.5458
59,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,6,12,0.8629,100.0,0.5756
60,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,1,6,16,0.7884,100.0,0.6195
61,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,1,1,1.0,100.0,0.5025
62,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,1,4,0.9663,100.0,0.5254
63,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,1,8,0.8273,100.0,0.65
64,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,1,12,0.7513,100.0,0.7462
65,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,1,16,0.5187,100.0,0.7949
66,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,2,1,1.0,75.0,0.5023
67,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,2,4,0.9659,100.0,0.5272
68,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,2,8,0.7106,100.0,0.6844
69,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,2,12,0.69,100.0,0.7721
70,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,2,16,0.3308,100.0,0.677
71,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,3,1,1.0,87.5,0.5025
72,alcove,vgg11,hinge,shj_images_set2,0.002,0.015,6.0,2.0,2,3,4,0.9694,100.0,0.5228
