,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,1,1,0.4944,100.0,0.928
2,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,1,4,0.5,100.0,0.928
3,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,1,8,0.5,100.0,0.928
4,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,1,12,0.5,100.0,0.928
5,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,1,16,0.5,100.0,0.928
6,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,2,1,0.4826,100.0,0.9643
7,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,2,4,0.5,100.0,0.9643
8,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,2,8,0.5,100.0,0.9643
9,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,2,12,0.5,100.0,0.9643
10,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,2,16,0.5,100.0,0.9643
11,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,3,1,0.5133,87.5,0.8239
12,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,3,4,0.3895,87.5,0.7589
13,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,3,8,0.3829,87.5,0.7635
14,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,3,12,0.3153,87.5,0.8085
15,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,3,16,0.2817,87.5,0.8284
16,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,4,1,0.6234,75.0,0.6852
17,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,4,4,0.439,75.0,0.6651
18,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,4,8,0.3485,87.5,0.7291
19,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,4,12,0.2378,87.5,0.7192
20,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,4,16,0.2655,87.5,0.7395
21,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,5,1,0.4956,87.5,0.8654
22,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,5,4,0.7729,87.5,0.8099
23,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,5,8,0.3875,87.5,0.752
24,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,5,12,0.3874,87.5,0.7511
25,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,5,16,0.3854,87.5,0.7519
26,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,6,1,0.5516,50.0,0.5003
27,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,6,4,0.5155,50.0,0.4965
28,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,6,8,0.4877,62.5,0.5105
29,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,6,12,0.4478,62.5,0.5461
30,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,0,6,16,0.4141,75.0,0.5687
31,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,1,1,0.6634,100.0,0.9463
32,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,1,4,0.5,100.0,0.9463
33,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,1,8,0.5,100.0,0.9463
34,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,1,12,0.5,100.0,0.9463
35,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,1,16,0.5,100.0,0.9463
36,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,2,1,0.5586,50.0,0.5008
37,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,2,4,0.5037,50.0,0.5006
38,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,2,8,0.4775,75.0,0.5201
39,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,2,12,0.4622,62.5,0.5329
40,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,2,16,0.395,75.0,0.5711
41,mlp,vgg11,humble,shj_images_set2,0.002,0.015,,2.0,1,3,1,0.5064,50.0,0.5014
