,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,1,1,0.7261,100.0,0.9303
2,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,1,4,0.1691,100.0,0.9737
3,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,1,8,0.1058,100.0,0.9892
4,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,1,12,0.0763,100.0,0.9942
5,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,1,16,0.0595,100.0,0.9965
6,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,2,1,0.6715,100.0,0.928
7,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,2,4,0.1749,100.0,0.9738
8,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,2,8,0.1082,100.0,0.9894
9,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,2,12,0.0776,100.0,0.9944
10,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,2,16,0.0603,100.0,0.9966
11,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,3,1,0.713,87.5,0.8437
12,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,3,4,0.3138,87.5,0.8671
13,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,3,8,0.2464,87.5,0.8887
14,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,3,12,0.2023,87.5,0.9054
15,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,3,16,0.17,87.5,0.9213
16,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,4,1,0.6759,75.0,0.7433
17,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,4,4,0.2589,100.0,0.9307
18,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,4,8,0.1253,100.0,0.9828
19,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,4,12,0.0926,100.0,0.9901
20,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,4,16,0.0734,100.0,0.9936
21,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,5,1,0.6892,75.0,0.7179
22,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,5,4,0.3785,87.5,0.8427
23,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,5,8,0.1938,100.0,0.9475
24,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,5,12,0.113,100.0,0.9864
25,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,5,16,0.0751,100.0,0.9943
26,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,6,1,0.6896,62.5,0.5675
27,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,6,4,0.5492,100.0,0.7417
28,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,6,8,0.4391,100.0,0.8491
29,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,6,12,0.3807,75.0,0.7454
30,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,0,6,16,0.406,75.0,0.7676
31,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,1,1,0.6828,100.0,0.931
32,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,1,4,0.1677,100.0,0.9741
33,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,1,8,0.1052,100.0,0.9893
34,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,1,12,0.076,100.0,0.9943
35,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,1,16,0.0593,100.0,0.9965
36,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,2,1,0.6968,62.5,0.6351
37,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,2,4,0.5917,87.5,0.7173
38,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,2,8,0.3764,100.0,0.884
39,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,2,12,0.1335,100.0,0.9836
40,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,2,16,0.0915,100.0,0.9917
41,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,3,1,0.6785,87.5,0.8293
42,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,3,4,0.3423,87.5,0.8571
43,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,3,8,0.1762,100.0,0.9537
44,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,3,12,0.1105,100.0,0.9838
45,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,3,16,0.0847,100.0,0.9899
46,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,4,1,0.7132,87.5,0.8459
47,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,4,4,0.3578,87.5,0.855
48,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,4,8,0.3547,87.5,0.8569
49,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,4,12,0.3523,87.5,0.8579
50,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,4,16,0.3503,87.5,0.8585
51,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,5,1,0.6694,87.5,0.8265
52,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,5,4,0.3777,87.5,0.8447
53,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,5,8,0.3123,87.5,0.8606
54,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,5,12,0.2641,87.5,0.8802
55,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,5,16,0.2304,87.5,0.8909
56,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,6,1,0.6945,50.0,0.5069
57,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,6,4,0.5286,75.0,0.6674
58,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,6,8,0.4605,100.0,0.7421
59,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,6,12,0.3405,87.5,0.8027
60,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,1,6,16,0.2155,100.0,0.958
61,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,1,1,0.6944,100.0,0.916
62,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,1,4,0.1734,100.0,0.9721
63,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,1,8,0.112,100.0,0.988
64,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,1,12,0.0806,100.0,0.9937
65,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,1,16,0.0623,100.0,0.9962
66,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,2,1,0.6713,100.0,0.966
67,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,2,4,0.1334,100.0,0.9841
68,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,2,8,0.0906,100.0,0.9924
69,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,2,12,0.068,100.0,0.9956
70,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,2,16,0.0543,100.0,0.9972
71,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,3,1,0.7089,87.5,0.7543
72,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,3,4,0.3973,87.5,0.8207
73,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,3,8,0.3435,87.5,0.8734
74,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,3,12,0.211,87.5,0.9152
75,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,3,16,0.1555,100.0,0.9442
76,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,4,1,0.6478,87.5,0.826
77,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,4,4,0.3646,87.5,0.8435
78,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,4,8,0.3317,87.5,0.859
79,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,4,12,0.2515,87.5,0.8846
80,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,4,16,0.2159,87.5,0.9052
81,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,5,1,0.7107,75.0,0.7003
82,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,5,4,0.4784,75.0,0.7422
83,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,5,8,0.4236,75.0,0.7376
84,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,5,12,0.4445,87.5,0.7805
85,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,5,16,0.4197,75.0,0.7608
86,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,6,1,0.68,75.0,0.7338
87,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,6,4,0.7153,62.5,0.5803
88,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,6,8,0.5111,87.5,0.7183
89,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,6,12,0.3432,87.5,0.8146
90,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,2,6,16,0.2916,87.5,0.878
91,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,1,1,0.7081,75.0,0.6765
92,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,1,4,0.4828,100.0,0.8336
93,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,1,8,0.1976,100.0,0.9653
94,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,1,12,0.1219,100.0,0.9863
95,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,1,16,0.0865,100.0,0.9929
96,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,2,1,0.7007,87.5,0.8284
97,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,2,4,0.5305,100.0,0.7834
98,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,2,8,0.2396,100.0,0.9507
99,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,2,12,0.107,100.0,0.989
100,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,2,16,0.0797,100.0,0.9938
101,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,3,1,0.738,75.0,0.7671
102,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,3,4,0.4695,87.5,0.7822
103,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,3,8,0.4239,87.5,0.823
104,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,3,12,0.356,87.5,0.8503
105,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,3,16,0.3155,87.5,0.8628
106,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,4,1,0.7259,87.5,0.748
107,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,4,4,0.3958,87.5,0.8215
108,mlp,vgg11,ll,shj_images_set2,0.002,0.015,,2.0,3,4,8,0.3399,87.5,0.8578
