,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,1,1,0.0449,50.0,0.5048
2,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,1,4,0.0135,50.0,0.6594
3,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,1,8,0.0014,62.5,0.7007
4,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,1,12,0.0003,62.5,0.6945
5,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,1,16,0.0001,62.5,0.6921
6,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,2,1,0.0311,50.0,0.5094
7,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,2,4,0.0048,100.0,0.7405
8,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,2,8,0.0003,100.0,0.7002
9,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,2,12,0.0001,75.0,0.6961
10,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,2,16,0.0001,75.0,0.6948
11,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,3,1,0.0513,50.0,0.5013
12,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,3,4,0.0556,50.0,0.5156
13,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,3,8,0.0245,50.0,0.5425
14,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,3,12,0.0133,50.0,0.5827
15,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,3,16,0.0063,50.0,0.6172
16,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,4,1,0.0614,50.0,0.5019
17,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,4,4,0.0382,50.0,0.5173
18,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,4,8,0.0206,50.0,0.5532
19,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,4,12,0.0115,50.0,0.5945
20,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,4,16,0.0058,50.0,0.6314
21,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,5,1,0.0493,50.0,0.5019
22,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,5,4,0.0448,50.0,0.5236
23,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,5,8,0.0195,50.0,0.5649
24,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,5,12,0.0117,50.0,0.6033
25,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,5,16,0.0089,75.0,0.623
26,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,6,1,0.0511,50.0,0.5004
27,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,6,4,0.0588,50.0,0.5024
28,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,6,8,0.0315,50.0,0.509
29,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,6,12,0.024,50.0,0.532
30,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,0,6,16,0.0159,50.0,0.5644
31,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,1,1,1,0.1301,50.0,0.5001
32,mlp,vgg11,mse,shj_images_set2,0.002,0.015,,2.0,1,1,4,0.081,50.0,0.5001
