,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,1,1.0,100.0,0.5003
2,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,4,0.9959,100.0,0.5014
3,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,8,0.9904,100.0,0.5027
4,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,12,0.9848,100.0,0.5041
5,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,16,0.9792,100.0,0.5056
6,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,20,0.9735,100.0,0.507
7,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,24,0.9676,100.0,0.5085
8,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,28,0.9616,100.0,0.51
9,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,32,0.9553,100.0,0.5116
10,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,36,0.9489,100.0,0.5132
11,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,40,0.9421,100.0,0.5149
12,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,44,0.9351,100.0,0.5167
13,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,48,0.9277,100.0,0.5185
14,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,52,0.9199,100.0,0.5205
15,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,56,0.9118,100.0,0.5226
16,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,60,0.9032,100.0,0.5247
17,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,64,0.8941,100.0,0.527
18,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,68,0.8845,100.0,0.5295
19,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,72,0.8743,100.0,0.532
20,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,76,0.8635,100.0,0.5348
21,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,80,0.852,100.0,0.5377
22,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,84,0.8399,100.0,0.5407
23,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,88,0.8269,100.0,0.544
24,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,92,0.8132,100.0,0.5475
25,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,96,0.7986,100.0,0.5511
26,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,100,0.783,100.0,0.555
27,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,104,0.7665,100.0,0.5592
28,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,108,0.7489,100.0,0.5636
29,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,112,0.7302,100.0,0.5682
30,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,116,0.7104,100.0,0.5732
31,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,120,0.6892,100.0,0.5784
32,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,124,0.6668,100.0,0.584
33,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,1,128,0.643,100.0,0.5898
34,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,1,1.0,100.0,0.5
35,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,4,1.0,100.0,0.5
36,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,8,0.9999,100.0,0.5
37,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,12,0.9999,100.0,0.5
38,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,16,0.9999,100.0,0.5
39,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,20,0.9998,100.0,0.5
40,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,24,0.9998,100.0,0.5001
41,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,28,0.9997,100.0,0.5001
42,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,32,0.9997,100.0,0.5001
43,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,36,0.9997,100.0,0.5001
44,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,40,0.9996,100.0,0.5001
45,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,44,0.9996,100.0,0.5001
46,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,48,0.9996,100.0,0.5001
47,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,52,0.9995,100.0,0.5001
48,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,56,0.9995,100.0,0.5001
49,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,60,0.9994,100.0,0.5001
50,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,64,0.9994,100.0,0.5002
51,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,68,0.9994,100.0,0.5002
52,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,72,0.9993,100.0,0.5002
53,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,76,0.9993,100.0,0.5002
54,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,80,0.9992,100.0,0.5002
55,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,84,0.9992,100.0,0.5002
56,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,88,0.9992,100.0,0.5002
57,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,92,0.9991,100.0,0.5002
58,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,96,0.9991,100.0,0.5002
59,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,100,0.9991,100.0,0.5002
60,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,104,0.999,100.0,0.5002
61,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,108,0.999,100.0,0.5003
62,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,112,0.9989,100.0,0.5003
63,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,116,0.9989,100.0,0.5003
64,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,120,0.9989,100.0,0.5003
65,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,124,0.9988,100.0,0.5003
66,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,2,128,0.9988,100.0,0.5003
67,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,1,1.0,100.0,0.5002
68,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,4,0.9979,100.0,0.5007
69,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,8,0.9952,100.0,0.5014
70,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,12,0.9924,100.0,0.5021
71,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,16,0.9896,100.0,0.5028
72,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,20,0.9868,100.0,0.5035
73,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,24,0.984,100.0,0.5042
74,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,28,0.9812,100.0,0.5049
75,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,32,0.9784,100.0,0.5056
76,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,36,0.9755,100.0,0.5063
77,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,40,0.9726,100.0,0.507
78,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,44,0.9697,100.0,0.5078
79,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,48,0.9668,100.0,0.5085
80,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,52,0.9638,100.0,0.5092
81,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,56,0.9607,100.0,0.51
82,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,60,0.9577,100.0,0.5108
83,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,64,0.9545,100.0,0.5116
84,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,68,0.9514,100.0,0.5123
85,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,72,0.9481,100.0,0.5132
86,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,76,0.9449,100.0,0.514
87,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,80,0.9415,100.0,0.5148
88,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,84,0.9381,100.0,0.5157
89,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,88,0.9347,100.0,0.5165
90,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,92,0.9311,100.0,0.5174
91,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,96,0.9275,100.0,0.5183
92,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,100,0.9238,100.0,0.5192
93,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,104,0.9201,100.0,0.5202
94,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,108,0.9162,100.0,0.5211
95,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,112,0.9123,100.0,0.5221
96,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,116,0.9083,100.0,0.5231
97,alcove,,hinge,abstract,0.001,0.005,0.5,1.0,0,3,120,0.9042,100.0,0.5241
