,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,1,0.5,100.0,0.5003
2,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,4,0.4959,100.0,0.5014
3,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,8,0.4905,100.0,0.5027
4,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,12,0.4851,100.0,0.5041
5,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,16,0.4796,100.0,0.5055
6,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,20,0.4742,100.0,0.5069
7,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,24,0.4686,100.0,0.5083
8,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,28,0.463,100.0,0.5098
9,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,1,32,0.4573,100.0,0.5113
10,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,1,0.5,100.0,0.5
11,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,4,0.5,100.0,0.5
12,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,8,0.4999,100.0,0.5
13,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,12,0.4999,100.0,0.5
14,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,16,0.4999,100.0,0.5
15,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,20,0.4998,100.0,0.5
16,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,24,0.4998,100.0,0.5001
17,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,28,0.4997,100.0,0.5001
18,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,2,32,0.4997,100.0,0.5001
19,alcove,,humble,abstract,0.001,0.005,0.5,1.0,0,3,1,0.5,100.0,0.5002
