,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,1,0.6931,100.0,0.5002
2,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,4,0.6921,100.0,0.5007
3,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,8,0.6908,100.0,0.5014
4,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,12,0.6894,100.0,0.5021
5,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,16,0.688,100.0,0.5027
6,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,20,0.6867,100.0,0.5034
7,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,24,0.6853,100.0,0.5041
8,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,28,0.6839,100.0,0.5048
9,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,32,0.6825,100.0,0.5055
10,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,36,0.6811,100.0,0.5062
11,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,40,0.6797,100.0,0.5069
12,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,44,0.6783,100.0,0.5077
13,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,48,0.6768,100.0,0.5084
14,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,52,0.6754,100.0,0.5091
15,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,56,0.6739,100.0,0.5099
16,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,60,0.6724,100.0,0.5107
17,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,64,0.6709,100.0,0.5114
18,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,68,0.6694,100.0,0.5122
19,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,72,0.6678,100.0,0.513
20,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,76,0.6662,100.0,0.5138
21,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,80,0.6646,100.0,0.5147
22,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,84,0.663,100.0,0.5155
23,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,88,0.6613,100.0,0.5164
24,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,92,0.6596,100.0,0.5173
25,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,96,0.6579,100.0,0.5182
26,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,100,0.6561,100.0,0.5191
27,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,104,0.6543,100.0,0.5201
28,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,108,0.6524,100.0,0.521
29,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,112,0.6505,100.0,0.522
30,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,116,0.6486,100.0,0.523
31,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,120,0.6466,100.0,0.5241
32,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,124,0.6446,100.0,0.5251
33,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,1,128,0.6426,100.0,0.5262
34,alcove,,ll,abstract,0.001,0.005,0.5,1.0,0,2,1,0.6931,100.0,0.5
