,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,1,1.009,50.0,0.5
2,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,4,0.982,50.0,0.5067
3,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,8,0.9456,50.0,0.5158
4,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,12,0.9085,50.0,0.5249
5,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,16,0.87,50.0,0.5343
6,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,20,0.8294,50.0,0.5439
7,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,24,0.7863,50.0,0.554
8,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,28,0.7399,50.0,0.5644
9,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,32,0.6896,50.0,0.5755
10,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,36,0.6344,50.0,0.5872
11,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,40,0.5851,50.0,0.5981
12,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,44,0.5425,75.0,0.6095
13,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,48,0.4961,87.5,0.622
14,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,52,0.4464,100.0,0.6351
15,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,56,0.3908,100.0,0.6497
16,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,60,0.3319,100.0,0.6648
17,mlp,,hinge,abstract,0.001,0.005,,1.0,0,1,64,0.268,100.0,0.6802
18,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,1,1.0078,50.0,0.4982
19,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,4,1.0075,50.0,0.4983
20,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,8,1.007,50.0,0.4984
21,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,12,1.0065,50.0,0.4985
22,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,16,1.006,50.0,0.4986
23,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,20,1.0055,50.0,0.4987
24,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,24,1.0051,50.0,0.4988
25,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,28,1.0046,50.0,0.4989
26,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,32,1.0042,50.0,0.499
27,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,36,1.0038,50.0,0.4991
28,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,40,1.0034,50.0,0.4992
29,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,44,1.0029,50.0,0.4993
30,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,48,1.0025,50.0,0.4994
31,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,52,1.0021,50.0,0.4995
32,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,56,1.0018,50.0,0.4996
33,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,60,1.0014,50.0,0.4997
34,mlp,,hinge,abstract,0.001,0.005,,1.0,0,2,64,1.001,50.0,0.4998
35,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,1,1.0169,50.0,0.4976
36,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,4,0.9961,50.0,0.5027
37,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,8,0.9687,50.0,0.5093
38,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,12,0.9415,50.0,0.5158
39,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,16,0.9142,50.0,0.5223
40,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,20,0.8867,50.0,0.5288
41,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,24,0.8588,50.0,0.5352
42,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,28,0.8302,50.0,0.5417
43,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,32,0.8008,50.0,0.5482
44,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,36,0.7752,50.0,0.5539
45,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,40,0.7577,75.0,0.5586
46,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,44,0.7398,75.0,0.5635
47,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,48,0.7213,75.0,0.5685
48,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,52,0.7023,75.0,0.5737
49,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,56,0.6826,75.0,0.579
50,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,60,0.6622,75.0,0.5844
51,mlp,,hinge,abstract,0.001,0.005,,1.0,0,3,64,0.6411,75.0,0.5899
52,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,1,0.9605,50.0,0.5117
53,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,4,0.936,50.0,0.5176
54,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,8,0.9032,50.0,0.5253
55,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,12,0.8699,50.0,0.533
56,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,16,0.8359,50.0,0.5406
57,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,20,0.8009,50.0,0.5482
58,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,24,0.7647,50.0,0.5557
59,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,28,0.7432,62.5,0.5609
60,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,32,0.7235,62.5,0.5664
61,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,36,0.7031,62.5,0.5721
62,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,40,0.682,62.5,0.578
63,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,44,0.6599,62.5,0.5841
64,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,48,0.6369,62.5,0.5905
65,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,52,0.6128,62.5,0.5972
66,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,56,0.5876,62.5,0.6041
67,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,60,0.5611,62.5,0.6114
68,mlp,,hinge,abstract,0.001,0.005,,1.0,0,4,64,0.5332,62.5,0.6189
69,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,1,0.9756,37.5,0.5066
70,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,4,0.9684,37.5,0.5084
71,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,8,0.9586,50.0,0.5108
72,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,12,0.9483,62.5,0.5134
73,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,16,0.9376,75.0,0.5161
74,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,20,0.9264,75.0,0.519
75,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,24,0.9146,75.0,0.522
76,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,28,0.9022,75.0,0.5252
77,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,32,0.8891,87.5,0.5285
78,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,36,0.8752,87.5,0.5321
79,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,40,0.8605,87.5,0.5358
80,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,44,0.8449,87.5,0.5398
81,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,48,0.8283,87.5,0.5439
82,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,52,0.8107,87.5,0.5483
83,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,56,0.792,87.5,0.553
84,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,60,0.772,87.5,0.5578
85,mlp,,hinge,abstract,0.001,0.005,,1.0,0,5,64,0.7508,87.5,0.5629
86,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,1,1.006,50.0,0.4985
87,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,4,1.0057,50.0,0.4986
88,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,8,1.0054,50.0,0.4986
89,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,12,1.005,50.0,0.4987
90,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,16,1.0047,50.0,0.4988
91,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,20,1.0044,50.0,0.4989
92,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,24,1.0041,50.0,0.4989
93,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,28,1.0038,50.0,0.499
94,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,32,1.0035,50.0,0.4991
95,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,36,1.0032,50.0,0.4992
96,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,40,1.0029,50.0,0.4992
97,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,44,1.0026,50.0,0.4993
98,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,48,1.0023,50.0,0.4994
99,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,52,1.002,50.0,0.4994
100,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,56,1.0017,50.0,0.4995
101,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,60,1.0014,50.0,0.4996
102,mlp,,hinge,abstract,0.001,0.005,,1.0,0,6,64,1.0011,50.0,0.4996
1,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,1,0.8863,50.0,0.5527
2,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,4,0.8596,62.5,0.5642
3,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,8,0.8213,62.5,0.5807
4,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,12,0.7793,75.0,0.5987
5,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,16,0.7327,75.0,0.6186
6,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,20,0.6808,75.0,0.6406
7,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,24,0.6227,75.0,0.6648
8,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,28,0.5636,87.5,0.6925
9,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,32,0.4991,100.0,0.7217
10,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,36,0.4274,100.0,0.7516
11,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,40,0.3481,100.0,0.7806
12,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,44,0.2697,100.0,0.8049
13,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,48,0.2294,100.0,0.8214
14,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,52,0.1918,100.0,0.8369
15,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,56,0.1521,100.0,0.8516
16,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,60,0.1101,100.0,0.8655
17,mlp,,hinge,abstract,0.001,0.005,,2.0,0,1,64,0.0775,100.0,0.8775
18,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,1,1.0032,50.0,0.4993
19,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,4,1.0027,50.0,0.4994
20,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,8,1.002,50.0,0.4996
21,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,12,1.0013,50.0,0.4998
22,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,16,1.0006,50.0,0.5
23,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,20,0.9999,50.0,0.5002
24,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,24,0.9992,50.0,0.5004
25,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,28,0.9985,50.0,0.5006
26,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,32,0.9978,50.0,0.5008
27,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,36,0.9971,50.0,0.501
28,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,40,0.9964,50.0,0.5012
29,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,44,0.9957,50.0,0.5014
30,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,48,0.995,50.0,0.5016
31,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,52,0.9943,50.0,0.5017
32,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,56,0.9936,50.0,0.5019
33,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,60,0.9928,50.0,0.5021
34,mlp,,hinge,abstract,0.001,0.005,,2.0,0,2,64,0.9921,50.0,0.5023
35,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,1,1.0205,50.0,0.491
36,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,4,1.0139,62.5,0.4944
37,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,8,1.0051,50.0,0.4988
38,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,12,0.9963,62.5,0.5032
39,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,16,0.9874,50.0,0.5075
40,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,20,0.9784,50.0,0.5118
41,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,24,0.9692,50.0,0.5161
42,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,28,0.9597,50.0,0.5204
43,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,32,0.9498,50.0,0.5246
44,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,36,0.9395,50.0,0.5288
45,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,40,0.9287,50.0,0.533
46,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,44,0.9173,50.0,0.5371
47,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,48,0.9051,50.0,0.5412
48,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,52,0.8922,50.0,0.5452
49,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,56,0.8785,50.0,0.5491
50,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,60,0.8637,50.0,0.5529
51,mlp,,hinge,abstract,0.001,0.005,,2.0,0,3,64,0.8479,50.0,0.5565
52,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,1,1.0388,50.0,0.4823
53,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,4,1.0297,50.0,0.4869
54,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,8,1.0179,50.0,0.4927
55,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,12,1.0065,50.0,0.4982
56,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,16,0.9955,50.0,0.5035
57,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,20,0.9848,50.0,0.5084
58,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,24,0.9742,50.0,0.513
59,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,28,0.9637,50.0,0.5174
60,mlp,,hinge,abstract,0.001,0.005,,2.0,0,4,32,0.9532,50.0,0.5215
