,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,1,0.4892,50.0,0.5117
2,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,4,0.4524,75.0,0.52
3,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,8,0.4106,75.0,0.5306
4,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,12,0.3746,87.5,0.5408
5,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,16,0.3427,87.5,0.5506
6,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,20,0.3138,87.5,0.5601
7,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,24,0.2873,87.5,0.5693
8,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,28,0.2628,87.5,0.5783
9,mlp,,humble,abstract,0.001,0.005,,1.0,0,1,32,0.2399,87.5,0.5871
10,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,1,0.6659,50.0,0.4983
11,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,4,0.5913,50.0,0.4986
12,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,8,0.5446,37.5,0.499
13,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,12,0.5242,37.5,0.4992
14,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,16,0.5148,37.5,0.4994
15,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,20,0.5102,37.5,0.4996
16,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,24,0.5077,37.5,0.4997
17,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,28,0.5063,50.0,0.4998
18,mlp,,humble,abstract,0.001,0.005,,1.0,0,2,32,0.5053,50.0,0.4999
19,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,1,0.5164,62.5,0.5012
20,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,4,0.5033,62.5,0.504
21,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,8,0.4876,62.5,0.5076
22,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,12,0.4734,62.5,0.5109
23,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,16,0.4602,75.0,0.5142
24,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,20,0.4477,75.0,0.5173
25,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,24,0.4359,75.0,0.5204
26,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,28,0.4246,75.0,0.5235
27,mlp,,humble,abstract,0.001,0.005,,1.0,0,3,32,0.4137,75.0,0.5265
28,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,1,0.754,50.0,0.4883
29,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,4,0.6061,50.0,0.4974
30,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,8,0.5043,50.0,0.5076
31,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,12,0.4521,75.0,0.5159
32,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,16,0.4212,75.0,0.5229
33,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,20,0.3998,87.5,0.5288
34,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,24,0.3827,87.5,0.5342
35,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,28,0.3677,87.5,0.5391
36,mlp,,humble,abstract,0.001,0.005,,1.0,0,4,32,0.3538,87.5,0.5438
37,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,1,0.5946,50.0,0.491
38,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,4,0.5434,50.0,0.4946
39,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,8,0.5139,37.5,0.4981
40,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,12,0.5005,50.0,0.5007
41,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,16,0.4925,50.0,0.5028
42,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,20,0.4865,62.5,0.5045
43,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,24,0.4811,62.5,0.5061
44,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,28,0.476,62.5,0.5075
45,mlp,,humble,abstract,0.001,0.005,,1.0,0,5,32,0.4711,62.5,0.5089
46,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,1,0.5099,50.0,0.5006
47,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,4,0.5075,62.5,0.5006
48,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,8,0.5055,75.0,0.5007
49,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,12,0.5043,75.0,0.5007
50,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,16,0.5034,75.0,0.5007
51,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,20,0.5027,75.0,0.5007
52,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,24,0.5021,75.0,0.5007
53,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,28,0.5015,75.0,0.5008
54,mlp,,humble,abstract,0.001,0.005,,1.0,0,6,32,0.501,75.0,0.5008
1,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,1,0.4247,75.0,0.5454
2,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,4,0.397,100.0,0.5604
3,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,8,0.363,100.0,0.5797
4,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,12,0.3314,100.0,0.5983
5,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,16,0.3015,100.0,0.6165
6,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,20,0.273,100.0,0.6344
7,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,24,0.2458,100.0,0.652
8,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,28,0.2198,100.0,0.6692
9,mlp,,humble,abstract,0.001,0.005,,2.0,0,1,32,0.1953,100.0,0.686
