,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,1,0.7002,50.0,0.5028
2,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,4,0.6964,50.0,0.5041
3,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,8,0.6916,50.0,0.5059
4,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,12,0.6869,50.0,0.5077
5,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,16,0.6825,50.0,0.5095
6,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,20,0.6781,50.0,0.5113
7,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,24,0.6739,50.0,0.5132
8,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,28,0.6697,50.0,0.5151
9,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,32,0.6655,62.5,0.517
10,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,36,0.6614,62.5,0.519
11,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,40,0.6572,62.5,0.5211
12,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,44,0.653,62.5,0.5232
13,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,48,0.6487,62.5,0.5254
14,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,52,0.6444,75.0,0.5276
15,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,56,0.64,75.0,0.5299
16,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,60,0.6355,75.0,0.5323
17,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,64,0.6308,75.0,0.5348
18,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,68,0.6261,75.0,0.5373
19,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,72,0.6212,75.0,0.54
20,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,76,0.6162,75.0,0.5427
21,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,80,0.611,75.0,0.5456
22,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,84,0.6057,75.0,0.5485
23,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,88,0.6001,75.0,0.5516
24,mlp,,ll,abstract,0.001,0.005,,1.0,0,1,92,0.5945,75.0,0.5548
