,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,mlp,,mse,abstract,0.001,0.005,,1.0,0,1,1,0.0562,50.0,0.4952
2,mlp,,mse,abstract,0.001,0.005,,1.0,0,1,4,0.0535,50.0,0.4953
3,mlp,,mse,abstract,0.001,0.005,,1.0,0,1,8,0.0504,50.0,0.4955
4,mlp,,mse,abstract,0.001,0.005,,1.0,0,1,12,0.0477,50.0,0.4957
5,mlp,,mse,abstract,0.001,0.005,,1.0,0,1,16,0.0455,50.0,0.496
6,mlp,,mse,abstract,0.001,0.005,,1.0,0,2,1,0.0907,50.0,0.5008
7,mlp,,mse,abstract,0.001,0.005,,1.0,0,2,4,0.0839,37.5,0.5006
8,mlp,,mse,abstract,0.001,0.005,,1.0,0,2,8,0.076,62.5,0.5005
9,mlp,,mse,abstract,0.001,0.005,,1.0,0,2,12,0.0695,50.0,0.5003
10,mlp,,mse,abstract,0.001,0.005,,1.0,0,2,16,0.0639,50.0,0.5002
11,mlp,,mse,abstract,0.001,0.005,,1.0,0,3,1,0.1314,50.0,0.4775
12,mlp,,mse,abstract,0.001,0.005,,1.0,0,3,4,0.1189,37.5,0.4787
13,mlp,,mse,abstract,0.001,0.005,,1.0,0,3,8,0.1047,37.5,0.4803
14,mlp,,mse,abstract,0.001,0.005,,1.0,0,3,12,0.0928,25.0,0.4818
15,mlp,,mse,abstract,0.001,0.005,,1.0,0,3,16,0.0829,12.5,0.4832
16,mlp,,mse,abstract,0.001,0.005,,1.0,0,4,1,0.0423,62.5,0.5101
17,mlp,,mse,abstract,0.001,0.005,,1.0,0,4,4,0.0397,50.0,0.5113
18,mlp,,mse,abstract,0.001,0.005,,1.0,0,4,8,0.0366,50.0,0.5129
19,mlp,,mse,abstract,0.001,0.005,,1.0,0,4,12,0.0341,50.0,0.5143
20,mlp,,mse,abstract,0.001,0.005,,1.0,0,4,16,0.0321,50.0,0.5156
21,mlp,,mse,abstract,0.001,0.005,,1.0,0,5,1,0.1291,50.0,0.4912
22,mlp,,mse,abstract,0.001,0.005,,1.0,0,5,4,0.1168,50.0,0.4915
23,mlp,,mse,abstract,0.001,0.005,,1.0,0,5,8,0.1029,50.0,0.4919
24,mlp,,mse,abstract,0.001,0.005,,1.0,0,5,12,0.0913,50.0,0.4922
25,mlp,,mse,abstract,0.001,0.005,,1.0,0,5,16,0.0817,37.5,0.4926
26,mlp,,mse,abstract,0.001,0.005,,1.0,0,6,1,0.051,62.5,0.4995
27,mlp,,mse,abstract,0.001,0.005,,1.0,0,6,4,0.048,50.0,0.4995
28,mlp,,mse,abstract,0.001,0.005,,1.0,0,6,8,0.0448,50.0,0.4995
29,mlp,,mse,abstract,0.001,0.005,,1.0,0,6,12,0.0423,50.0,0.4995
30,mlp,,mse,abstract,0.001,0.005,,1.0,0,6,16,0.0403,50.0,0.4995
1,mlp,,mse,abstract,0.001,0.005,,2.0,0,1,1,0.0395,50.0,0.4909
2,mlp,,mse,abstract,0.001,0.005,,2.0,0,1,4,0.0385,50.0,0.4923
3,mlp,,mse,abstract,0.001,0.005,,2.0,0,1,8,0.0373,50.0,0.4942
4,mlp,,mse,abstract,0.001,0.005,,2.0,0,1,12,0.0362,50.0,0.4961
5,mlp,,mse,abstract,0.001,0.005,,2.0,0,1,16,0.0352,50.0,0.498
6,mlp,,mse,abstract,0.001,0.005,,2.0,0,2,1,0.1151,50.0,0.4981
7,mlp,,mse,abstract,0.001,0.005,,2.0,0,2,4,0.1064,50.0,0.4978
8,mlp,,mse,abstract,0.001,0.005,,2.0,0,2,8,0.0962,50.0,0.4975
9,mlp,,mse,abstract,0.001,0.005,,2.0,0,2,12,0.0875,50.0,0.4971
10,mlp,,mse,abstract,0.001,0.005,,2.0,0,2,16,0.08,50.0,0.4968
11,mlp,,mse,abstract,0.001,0.005,,2.0,0,3,1,0.06,50.0,0.5146
12,mlp,,mse,abstract,0.001,0.005,,2.0,0,3,4,0.0543,62.5,0.5172
13,mlp,,mse,abstract,0.001,0.005,,2.0,0,3,8,0.048,75.0,0.5204
14,mlp,,mse,abstract,0.001,0.005,,2.0,0,3,12,0.043,62.5,0.5231
15,mlp,,mse,abstract,0.001,0.005,,2.0,0,3,16,0.0389,62.5,0.5255
16,mlp,,mse,abstract,0.001,0.005,,2.0,0,4,1,0.0996,50.0,0.4935
17,mlp,,mse,abstract,0.001,0.005,,2.0,0,4,4,0.0909,50.0,0.497
18,mlp,,mse,abstract,0.001,0.005,,2.0,0,4,8,0.0807,50.0,0.5015
19,mlp,,mse,abstract,0.001,0.005,,2.0,0,4,12,0.072,50.0,0.5058
