,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,1,0.5,50.0,0.5
2,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,4,0.4998,50.0,0.5001
3,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,8,0.4997,50.0,0.5001
4,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,12,0.4994,50.0,0.5002
5,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,16,0.4991,50.0,0.5003
6,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,1,0.5,50.0,0.5
7,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,4,0.4999,50.0,0.5
8,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,8,0.4999,50.0,0.5
9,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,12,0.4998,50.0,0.5001
10,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,16,0.4997,50.0,0.5001
11,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,1,0.5,50.0,0.5
12,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,4,0.4999,50.0,0.5
13,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,8,0.4998,50.0,0.5001
14,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,12,0.4997,50.0,0.5001
15,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,16,0.4995,62.5,0.5001
16,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,1,0.5,100.0,0.5
17,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,4,0.4999,100.0,0.5
18,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,8,0.4997,100.0,0.5001
19,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,12,0.4995,100.0,0.5001
20,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,16,0.4993,100.0,0.5002
21,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,1,0.5,50.0,0.5
22,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,4,0.4999,50.0,0.5
23,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,8,0.4999,50.0,0.5
24,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,12,0.4998,50.0,0.5001
25,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,16,0.4997,62.5,0.5001
26,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,1,0.5,50.0,0.5
27,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,4,0.5,50.0,0.5
28,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,8,0.4999,50.0,0.5
29,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,12,0.4999,50.0,0.5
30,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,16,0.4998,50.0,0.5001
31,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,1,0.5,50.0,0.5
32,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,4,0.4998,50.0,0.5001
33,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,8,0.4997,50.0,0.5001
34,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,12,0.4994,50.0,0.5002
35,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,16,0.4991,50.0,0.5003
36,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,1,0.5,50.0,0.5
37,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,4,0.4999,50.0,0.5
38,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,8,0.4999,50.0,0.5
39,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,12,0.4998,50.0,0.5001
40,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,16,0.4997,50.0,0.5001
41,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,3,1,0.5,50.0,0.5
42,alcove,resnet152,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,3,4,0.4999,50.0,0.5
