,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,1,1,0.0625,50.0,0.4999
2,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,1,4,0.0515,50.0,0.4998
3,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,1,8,0.0425,50.0,0.4997
4,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,1,12,0.0374,50.0,0.4997
5,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,1,16,0.0346,50.0,0.4998
6,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,2,1,0.0625,50.0,0.5
7,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,2,4,0.0513,50.0,0.5001
8,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,2,8,0.0422,50.0,0.5001
9,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,2,12,0.0371,50.0,0.5002
10,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,2,16,0.0343,50.0,0.5002
11,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,3,1,0.0625,50.0,0.5
12,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,3,4,0.0514,50.0,0.5
13,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,3,8,0.0424,50.0,0.5
14,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,3,12,0.0373,50.0,0.5
15,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,3,16,0.0344,50.0,0.5
16,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,4,1,0.0625,50.0,0.5
17,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,4,4,0.0514,50.0,0.5
18,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,4,8,0.0423,50.0,0.5
19,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,4,12,0.0372,50.0,0.5
20,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,4,16,0.0344,50.0,0.5001
21,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,5,1,0.0625,50.0,0.5
22,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,5,4,0.0514,50.0,0.5
23,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,5,8,0.0423,50.0,0.5
24,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,5,12,0.0372,50.0,0.5
25,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,5,16,0.0344,50.0,0.5
26,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,6,1,0.0625,50.0,0.5
27,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,6,4,0.0513,50.0,0.5001
28,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,6,8,0.0422,50.0,0.5002
29,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,6,12,0.0371,50.0,0.5002
30,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,0,6,16,0.0343,50.0,0.5002
31,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,1,1,0.0625,50.0,0.4999
32,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,1,4,0.0515,50.0,0.4998
33,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,1,8,0.0425,50.0,0.4997
34,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,1,12,0.0374,50.0,0.4997
35,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,1,16,0.0346,50.0,0.4998
36,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,2,1,0.0625,50.0,0.5
37,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,2,4,0.0513,50.0,0.5001
38,alcove,resnet152,mse,shj_images_set2,0.001,0.005,0.5,1.0,1,2,8,0.0422,50.0,0.5002
