,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,1,1,0.6931,50.0,0.5
2,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,1,4,0.693,50.0,0.5001
3,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,1,8,0.6927,50.0,0.5003
4,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,1,12,0.6925,50.0,0.5004
5,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,1,16,0.6922,50.0,0.5005
6,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,2,1,0.6931,50.0,0.5
7,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,2,4,0.693,50.0,0.5001
8,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,2,8,0.6929,50.0,0.5001
9,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,2,12,0.6928,50.0,0.5002
10,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,2,16,0.6926,50.0,0.5003
11,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,3,1,0.6931,87.5,0.5
12,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,3,4,0.6931,87.5,0.5001
13,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,3,8,0.6929,87.5,0.5001
14,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,3,12,0.6928,87.5,0.5002
15,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,3,16,0.6926,87.5,0.5003
16,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,4,1,0.6931,62.5,0.5
17,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,4,4,0.693,62.5,0.5001
18,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,4,8,0.6928,62.5,0.5002
19,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,4,12,0.6927,75.0,0.5003
20,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,4,16,0.6925,75.0,0.5004
21,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,5,1,0.6931,50.0,0.5
22,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,5,4,0.6931,50.0,0.5001
23,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,5,8,0.6929,50.0,0.5001
24,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,5,12,0.6928,50.0,0.5002
25,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,5,16,0.6927,50.0,0.5002
26,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,6,1,0.6931,50.0,0.5
27,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,6,4,0.6931,50.0,0.5
28,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,6,8,0.693,50.0,0.5001
29,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,6,12,0.693,50.0,0.5001
30,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,0,6,16,0.6929,50.0,0.5001
31,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,1,1,0.6931,50.0,0.5
32,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,1,4,0.693,50.0,0.5001
33,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,1,8,0.6927,50.0,0.5003
34,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,1,12,0.6925,50.0,0.5004
35,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,1,16,0.6922,50.0,0.5005
36,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,2,1,0.6931,50.0,0.5
37,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,2,4,0.6931,50.0,0.5
38,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,2,8,0.693,50.0,0.5001
39,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,2,12,0.6929,50.0,0.5001
40,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,2,16,0.6928,62.5,0.5002
41,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,3,1,0.6931,50.0,0.5
42,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,3,4,0.693,75.0,0.5001
43,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,3,8,0.6928,75.0,0.5002
44,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,3,12,0.6926,75.0,0.5003
45,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,3,16,0.6924,75.0,0.5004
46,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,4,1,0.6931,62.5,0.5
47,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,4,4,0.693,62.5,0.5001
48,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,4,8,0.6928,62.5,0.5002
49,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,4,12,0.6927,75.0,0.5003
50,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,4,16,0.6925,75.0,0.5004
51,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,5,1,0.6931,50.0,0.5
52,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,5,4,0.6931,50.0,0.5001
53,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,5,8,0.6929,50.0,0.5001
54,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,5,12,0.6928,50.0,0.5002
55,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,5,16,0.6927,50.0,0.5002
56,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,6,1,0.6931,50.0,0.5
57,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,6,4,0.6931,50.0,0.5
58,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,6,8,0.693,50.0,0.5001
59,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,6,12,0.693,50.0,0.5001
60,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,1,6,16,0.6929,50.0,0.5001
61,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,1,1,0.6931,50.0,0.5
62,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,1,4,0.6929,50.0,0.5001
63,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,1,8,0.6927,50.0,0.5003
64,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,1,12,0.6924,50.0,0.5004
65,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,1,16,0.6921,50.0,0.5006
66,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,2,1,0.6931,50.0,0.5
67,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,2,4,0.693,50.0,0.5001
68,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,2,8,0.6929,50.0,0.5001
69,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,2,12,0.6928,50.0,0.5002
70,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,2,16,0.6926,50.0,0.5003
71,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,3,1,0.6931,50.0,0.5
72,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,3,4,0.693,50.0,0.5001
73,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,3,8,0.6928,50.0,0.5002
74,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,3,12,0.6926,50.0,0.5003
75,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,3,16,0.6924,50.0,0.5004
76,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,4,1,0.6931,62.5,0.5
77,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,4,4,0.693,62.5,0.5001
78,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,4,8,0.6928,62.5,0.5002
79,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,4,12,0.6927,75.0,0.5003
80,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,4,16,0.6925,75.0,0.5004
81,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,5,1,0.6931,50.0,0.5
82,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,5,4,0.693,50.0,0.5001
83,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,5,8,0.6929,50.0,0.5002
84,alcove,resnet18,ll,shj_images_set2,0.001,0.005,0.5,1.0,2,5,12,0.6927,50.0,0.5003
