,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Train Loss,Train Accuracy,Probability Correct
1,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,1,0.5,50.0,0.5
2,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,4,0.4996,50.0,0.5002
3,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,8,0.4919,100.0,0.5037
4,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,12,0.4474,100.0,0.5183
5,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,1,16,0.3675,100.0,0.5421
6,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,1,0.5,50.0,0.5
7,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,4,0.4999,50.0,0.5
8,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,8,0.4996,50.0,0.5001
9,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,12,0.4983,50.0,0.5006
10,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,2,16,0.4934,75.0,0.5022
11,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,1,0.5,50.0,0.5
12,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,4,0.4999,50.0,0.5
13,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,8,0.4993,50.0,0.5003
14,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,12,0.4956,87.5,0.5016
15,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,3,16,0.4842,75.0,0.5051
16,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,1,0.5,50.0,0.5
17,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,4,0.4999,75.0,0.5
18,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,8,0.4992,75.0,0.5003
19,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,12,0.4951,75.0,0.5018
20,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,4,16,0.4827,75.0,0.5056
21,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,1,0.5,75.0,0.5
22,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,4,0.4999,75.0,0.5
23,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,8,0.4992,75.0,0.5003
24,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,12,0.4951,75.0,0.5018
25,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,5,16,0.4829,75.0,0.5055
26,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,1,0.5,50.0,0.5
27,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,4,0.5,50.0,0.5
28,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,8,0.5,50.0,0.5
29,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,12,0.4999,50.0,0.5
30,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,0,6,16,0.4999,50.0,0.5
31,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,1,0.5,50.0,0.5
32,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,4,0.4996,50.0,0.5002
33,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,8,0.4919,100.0,0.5037
34,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,12,0.4474,100.0,0.5183
35,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,1,16,0.3675,100.0,0.5421
36,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,1,0.5,50.0,0.5
37,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,4,0.5,50.0,0.5
38,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,8,0.5,50.0,0.5
39,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,12,0.4999,50.0,0.5
40,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,2,16,0.4998,50.0,0.5001
41,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,3,1,0.5,50.0,0.5
42,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,3,4,0.4999,50.0,0.5
43,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,3,8,0.4992,75.0,0.5003
44,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,3,12,0.4949,75.0,0.5019
45,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,3,16,0.4821,75.0,0.5058
46,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,4,1,0.5,50.0,0.5
47,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,4,4,0.4999,75.0,0.5
48,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,4,8,0.4992,75.0,0.5003
49,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,4,12,0.4951,75.0,0.5018
50,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,4,16,0.4827,75.0,0.5056
51,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,5,1,0.5,75.0,0.5
52,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,5,4,0.4999,75.0,0.5
53,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,5,8,0.4992,75.0,0.5003
54,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,5,12,0.4951,75.0,0.5018
55,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,5,16,0.4829,75.0,0.5055
56,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,6,1,0.5,50.0,0.5
57,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,6,4,0.5,50.0,0.5
58,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,6,8,0.5,50.0,0.5
59,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,6,12,0.4999,50.0,0.5
60,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,1,6,16,0.4999,50.0,0.5
61,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,1,1,0.5,50.0,0.5
62,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,1,4,0.4999,50.0,0.5
63,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,1,8,0.4995,50.0,0.5002
64,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,1,12,0.4976,100.0,0.5009
65,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,1,16,0.4908,100.0,0.5031
66,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,2,1,0.5,50.0,0.5
67,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,2,4,0.4999,50.0,0.5
68,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,2,8,0.4996,50.0,0.5001
69,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,2,12,0.4983,50.0,0.5006
70,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,2,16,0.4934,75.0,0.5022
71,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,3,1,0.5,50.0,0.5
72,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,3,4,0.4999,75.0,0.5
73,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,3,8,0.4992,75.0,0.5003
74,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,3,12,0.4951,75.0,0.5018
75,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,3,16,0.4829,75.0,0.5055
76,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,4,1,0.5,50.0,0.5
77,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,4,4,0.4999,75.0,0.5
78,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,4,8,0.4992,75.0,0.5003
79,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,4,12,0.4951,75.0,0.5018
80,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,4,16,0.4827,75.0,0.5056
81,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,5,1,0.5,50.0,0.5
82,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,5,4,0.5,50.0,0.5
83,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,5,8,0.4997,50.0,0.5001
84,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,5,12,0.4989,50.0,0.5004
85,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,5,16,0.496,75.0,0.5013
86,alcove,vgg11,humble,shj_images_set2,0.001,0.005,0.5,1.0,2,6,1,0.5,50.0,0.5
